Date,OpeningTrend,OpenLocation,PrevDayContext,Result,ResultRet%
2024-09-16 00:00:00+05:30,TR,,,BULL,10.0
2024-09-17 00:00:00+05:30,BULL,OAR,BULL,BULL,1.783
2024-09-18 00:00:00+05:30,BULL,OOH,BULL,BEAR,-4.723
2024-09-19 00:00:00+05:30,BEAR,OOL,TR,BEAR,-4.833
2024-09-20 00:00:00+05:30,TR,OOL,BEAR,TR,0.031
2024-09-23 00:00:00+05:30,BEAR,OIM,TR,BEAR,-1.879
2024-09-24 00:00:00+05:30,BEAR,OOL,BEAR,TR,-0.063
2024-09-25 00:00:00+05:30,BEAR,OBR,BEAR,BEAR,-1.732
2024-09-26 00:00:00+05:30,BEAR,OOL,BEAR,BULL,5.033
2024-09-27 00:00:00+05:30,BEAR,OIM,TR,BEAR,-0.87
2024-09-30 00:00:00+05:30,BEAR,OOL,TR,TR,0.071
2024-10-01 00:00:00+05:30,TR,OIM,BEAR,BEAR,-1.475
2024-10-03 00:00:00+05:30,BULL,OBR,BEAR,TR,-0.245
2024-10-04 00:00:00+05:30,BEAR,OAR,BULL,TR,0.28
2024-10-07 00:00:00+05:30,BEAR,OIM,TR,BULL,7038.803
2024-10-08 00:00:00+05:30,TR,OBR,TR,BULL,6.453
2024-10-09 00:00:00+05:30,TR,OAR,TR,BULL,6562.474
2024-10-10 00:00:00+05:30,BEAR,OOL,TR,BEAR,-1.14
2024-10-11 00:00:00+05:30,TR,OAR,BULL,TR,0.547
2024-10-14 00:00:00+05:30,TR,OOH,TR,BEAR,-98.673
2024-10-15 00:00:00+05:30,BEAR,OOL,BEAR,BULL,7459.012
2024-10-16 00:00:00+05:30,BULL,OOL,TR,BEAR,-98.683
2024-10-17 00:00:00+05:30,BEAR,OOL,TR,BULL,7415.008
2024-10-18 00:00:00+05:30,BULL,OOL,TR,BEAR,-98.643
2024-10-21 00:00:00+05:30,BEAR,OOH,BULL,BULL,7338.65
2024-10-22 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-1.913
