Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow,Open,High,Low,Close
2015-02-02,BULL,BULL,,,,,42.0,40.0,40.0,42.0,40.0,41.5
2015-02-03,TR,TR,OOH,,SWR,BULL,42.5,41.5,42.0,42.5,41.5,42.0
2015-02-04,TR,BEAR,OIM,NORMAL,SWR,TR,42.0,40.5,42.0,42.0,40.5,42.0
2015-02-05,BEAR,TR,OIM,NORMAL,SWR,TR,42.0,40.5,41.5,42.0,40.5,41.0
2015-02-06,TR,BEAR,OIM,,SWR,TR,41.0,40.0,41.0,41.0,40.0,40.0
2015-02-09,BEAR,TR,OIM,NORMAL,SWR,BEAR,40.5,40.0,40.5,40.5,40.0,40.0
2015-02-10,TR,TR,OOL,,SWR,BEAR,40.5,40.0,40.0,40.5,40.0,40.0
2015-02-11,TR,BULL,OOH,HUGE OPEN,SWR,TR,41.5,40.0,40.5,41.5,40.0,41.0
2015-02-12,TR,TR,OIM,NORMAL,SWR,TR,41.5,41.0,41.0,41.5,41.0,41.5
2015-02-13,TR,BULL,OOL,,WAR,BULL,42.0,41.0,41.0,42.0,41.0,42.0
2015-02-16,TR,TR,OAR,HUGE OPEN,SWR,BULL,44.0,42.0,44.0,44.0,42.0,43.0
2015-02-18,BEAR,BULL,OOH,HUGE OPEN,SWR,TR,44.0,42.0,44.0,44.0,42.0,43.0
2015-02-19,TR,TR,OIM,,SWR,TR,43.0,42.0,43.0,43.0,42.0,43.0
2015-02-20,TR,TR,OOH,,SWR,TR,43.0,41.0,43.0,43.0,41.0,42.0
2015-02-23,TR,TR,OOL,NORMAL,SWR,TR,42.5,41.0,41.5,42.5,41.0,41.5
2015-02-24,BEAR,BEAR,OIM,,SWR,TR,42.0,41.0,42.0,42.0,41.0,41.0
2015-02-25,TR,BEAR,OIM,HUGE OPEN,SWR,BEAR,42.0,40.5,41.5,42.0,40.5,41.0
2015-02-26,TR,TR,OIM,,SWR,TR,41.5,41.0,41.0,41.5,41.0,41.0
2015-02-27,TR,TR,OOL,,SWR,TR,41.5,40.5,41.0,41.5,40.5,41.0
2015-02-28,TR,BULL,OIM,,SWR,TR,45.0,41.0,41.0,45.0,41.0,44.0
2015-03-02,BEAR,BULL,OOH,NORMAL,SWR,BULL,44.5,43.0,44.0,44.5,43.0,43.5
2015-03-03,TR,BEAR,OIM,NORMAL,SWR,TR,44.5,43.0,44.0,44.5,43.0,43.0
2015-03-04,BULL,TR,OOL,NORMAL,SWR,BEAR,44.0,42.5,43.0,44.0,42.5,43.0
2015-03-05,TR,BULL,OIM,NORMAL,SWR,TR,44.0,43.0,43.0,44.0,43.0,43.5
2015-03-09,BEAR,BEAR,OOH,HUGE OPEN,SWR,TR,44.0,41.5,44.0,44.0,41.5,42.0
2015-03-10,TR,BEAR,OIM,NORMAL,SWR,BEAR,43.0,41.5,42.5,43.0,41.5,42.0
2015-03-11,BEAR,BEAR,OIM,,SWR,TR,42.0,41.0,42.0,42.0,41.0,42.0
2015-03-12,BULL,TR,OIM,NORMAL,SWR,TR,42.0,41.0,41.5,42.0,41.0,41.0
2015-03-13,BULL,BEAR,OIM,NORMAL,SWR,BEAR,42.0,41.0,41.5,42.0,41.0,41.0
2015-03-16,BEAR,TR,OBR,NORMAL,SBR,BEAR,41.0,40.0,40.5,41.0,40.0,40.0
2015-03-17,BULL,BULL,OOL,NORMAL,SWR,BEAR,41.0,40.0,40.0,41.0,40.0,40.5
2015-03-18,BEAR,BULL,OIM,NORMAL,SWR,TR,41.0,40.0,40.5,41.0,40.0,40.0
2015-03-19,BULL,BEAR,OIM,NORMAL,SWR,BEAR,41.0,40.0,40.5,41.0,40.0,40.5
2015-03-20,BEAR,BEAR,OAR,HUGE OPEN,SWR,TR,41.5,39.0,41.5,41.5,39.0,40.0
2015-03-23,BEAR,TR,OIM,NORMAL,SWR,TR,40.5,39.5,40.5,40.5,39.5,40.0
2015-03-24,TR,BEAR,OIM,NORMAL,SWR,TR,40.5,39.0,40.0,40.5,39.0,39.5
2015-03-25,TR,BULL,OIM,DOJI,SWR,TR,40.0,39.0,39.5,40.0,39.0,39.5
2015-03-26,BULL,BEAR,OIM,,SWR,TR,40.0,39.5,39.5,40.0,39.5,39.5
2015-03-27,BEAR,BEAR,OOH,HUGE OPEN,SWR,TR,40.0,39.5,40.0,40.0,39.5,39.5
2015-03-30,TR,TR,OOH,,WAR,BEAR,41.0,39.5,40.0,41.0,39.5,40.0
2015-03-31,TR,BULL,OIM,,SWR,TR,42.0,40.0,40.0,42.0,40.0,41.0
2015-04-01,BEAR,BULL,OOH,NORMAL,SWR,TR,41.5,40.5,41.5,41.5,40.5,41.0
2015-04-06,TR,BULL,OOH,NORMAL,WAR,TR,43.0,41.5,41.5,43.0,41.5,42.5
2015-04-07,BEAR,BULL,OOH,NORMAL,SWR,BULL,44.0,42.0,43.0,44.0,42.0,43.5
2015-04-08,BEAR,BULL,OOH,NORMAL,SWR,TR,45.0,43.0,43.5,45.0,43.0,45.0
2015-04-09,BEAR,BULL,OAR,NORMAL,SWR,BULL,47.0,44.0,45.5,47.0,44.0,45.0
2015-04-10,TR,BEAR,OIM,,SWR,TR,46.0,45.0,45.0,46.0,45.0,45.0
2015-04-13,TR,TR,OOL,,SWR,TR,45.0,44.0,45.0,45.0,44.0,44.5
2015-04-15,BEAR,BULL,OIM,NORMAL,SWR,TR,45.0,44.0,44.5,45.0,44.0,44.5
2015-04-16,BEAR,BULL,OIM,NORMAL,SWR,TR,46.0,44.0,44.5,46.0,44.0,46.0
2015-04-17,BEAR,TR,OOH,NORMAL,SWR,BULL,46.0,44.5,46.0,46.0,44.5,45.0
2015-04-20,TR,BULL,OIM,,SWR,BEAR,46.0,44.5,45.0,46.0,44.5,45.5
2015-04-21,BEAR,BEAR,OIM,NORMAL,SWR,TR,45.5,41.5,45.0,45.5,41.5,43.0
2015-04-22,BULL,BEAR,OIM,NORMAL,SWR,TR,44.0,42.0,43.0,44.0,42.0,43.0
2015-04-23,TR,TR,OOL,NORMAL,SWR,TR,43.5,42.5,42.5,43.5,42.5,43.0
2015-04-24,BULL,BEAR,OBR,NORMAL,SWR,TR,42.5,41.0,42.0,42.5,41.0,41.5
2015-04-27,BEAR,BEAR,OIM,NORMAL,SWR,TR,42.0,40.0,42.0,42.0,40.0,40.0
2015-04-28,BEAR,TR,OOH,HUGE OPEN,WBR,BEAR,42.0,39.0,42.0,42.0,39.0,40.0
2015-04-29,BEAR,BULL,OIM,NORMAL,SWR,BEAR,41.0,39.5,41.0,41.0,39.5,40.0
2015-04-30,TR,TR,OIM,,SWR,BEAR,40.5,39.5,40.0,40.5,39.5,40.0
2015-05-04,TR,BULL,OOH,HUGE OPEN,SWR,TR,42.5,39.0,40.5,42.5,39.0,42.0
2015-05-05,TR,TR,OAR,NORMAL,SAR,TR,44.0,42.5,43.0,44.0,42.5,43.0
2015-05-06,BEAR,BULL,OIM,NORMAL,WBR,TR,44.0,41.0,43.0,44.0,41.0,43.0
2015-05-07,TR,BEAR,OOH,NORMAL,SWR,TR,43.5,41.0,43.5,43.5,41.0,41.5
2015-05-08,BULL,BULL,OOL,NORMAL,SWR,BEAR,43.5,41.5,41.5,43.5,41.5,43.5
2015-05-11,BULL,BEAR,OOH,NORMAL,WAR,BULL,44.5,43.0,43.0,44.5,43.0,43.0
2015-05-12,BEAR,BULL,OOL,,SWR,TR,44.0,43.0,43.0,44.0,43.0,43.5
2015-05-13,BULL,BEAR,OIM,NORMAL,SWR,TR,44.0,43.0,43.5,44.0,43.0,43.0
2015-05-14,TR,TR,OOH,HUGE OPEN,SWR,BEAR,44.0,43.0,44.0,44.0,43.0,44.0
2015-05-15,BULL,BULL,OBR,HUGE OPEN,SWR,TR,45.0,0.0,0.0,45.0,0.0,45.0
2015-05-18,TR,BEAR,OOH,NORMAL,WAR,BULL,45.5,44.5,45.0,45.5,44.5,44.5
2015-05-19,TR,TR,OOL,HUGE OPEN,SWR,BEAR,45.5,44.5,44.5,45.5,44.5,45.0
2015-05-20,TR,TR,OIM,,SWR,TR,45.0,44.0,45.0,45.0,44.0,45.0
2015-05-21,TR,BULL,OOH,NORMAL,SWR,TR,46.0,45.0,45.0,46.0,45.0,46.0
2015-05-22,BEAR,BEAR,OOH,NORMAL,SWR,BULL,46.0,45.0,46.0,46.0,45.0,45.0
2015-05-25,TR,TR,OOL,,SWR,BEAR,45.5,44.5,45.0,45.5,44.5,45.0
2015-05-26,BEAR,BEAR,OOH,NORMAL,SWR,TR,46.0,44.5,45.5,46.0,44.5,45.0
2015-05-27,BEAR,BEAR,OIM,NORMAL,SWR,TR,45.0,43.0,45.0,45.0,43.0,44.0
2015-05-28,TR,BEAR,OOH,NORMAL,SWR,TR,45.0,43.5,45.0,45.0,43.5,44.5
2015-05-29,TR,BEAR,OOH,HUGE OPEN,WAR,TR,46.0,41.0,45.0,46.0,41.0,43.0
2015-06-01,TR,BULL,OIM,NORMAL,SWR,TR,44.0,42.5,43.0,44.0,42.5,44.0
2015-06-02,TR,BEAR,OAR,HUGE OPEN,SWR,BULL,44.5,42.5,44.5,44.5,42.5,43.0
2015-06-03,TR,BULL,OBR,NORMAL,SWR,BEAR,44.0,42.0,42.0,44.0,42.0,44.0
2015-06-04,TR,TR,OIM,HUGE OPEN,SWR,BULL,44.0,42.0,43.0,44.0,42.0,43.0
2015-06-05,BULL,BULL,OIM,NORMAL,SWR,TR,45.0,43.0,43.0,45.0,43.0,45.0
2015-06-08,TR,BULL,OOH,,SWR,BULL,45.0,44.0,45.0,45.0,44.0,44.5
2015-06-09,BULL,BULL,OOL,,SWR,TR,46.0,44.0,44.0,46.0,44.0,45.5
2015-06-10,TR,TR,OOH,NORMAL,SWR,BULL,46.0,45.0,45.5,46.0,45.0,46.0
2015-06-11,TR,BULL,OOH,,SWR,BULL,48.0,45.0,46.0,48.0,45.0,46.5
2015-06-12,TR,BULL,OIM,NORMAL,SWR,TR,47.0,46.0,47.0,47.0,46.0,46.5
2015-06-15,TR,TR,OOH,NORMAL,SWR,TR,47.0,46.5,47.0,47.0,46.5,47.0
2015-06-16,TR,BULL,OOH,HUGE OPEN,SWR,TR,47.0,46.0,47.0,47.0,46.0,47.0
2015-06-17,BULL,TR,OOH,,WAR,TR,48.0,47.0,47.0,48.0,47.0,48.0
2015-06-18,BULL,BULL,OOH,,SWR,BULL,49.0,48.0,48.0,49.0,48.0,49.0
2015-06-19,TR,BULL,OOH,HUGE OPEN,WAR,BULL,52.0,49.0,49.0,52.0,49.0,51.5
2015-06-22,TR,BULL,OOH,NORMAL,SWR,BULL,54.5,51.5,52.0,54.5,51.5,54.0
2015-06-23,TR,BEAR,OOH,NORMAL,SWR,BULL,54.0,52.5,54.0,54.0,52.5,53.0
2015-06-24,TR,TR,OIM,NORMAL,SWR,BEAR,54.0,52.0,53.0,54.0,52.0,52.5
2015-06-25,TR,BULL,OOL,NORMAL,SWR,TR,54.0,51.5,52.5,54.0,51.5,54.0
2015-06-26,TR,TR,OOH,NORMAL,SWR,BULL,55.0,53.0,54.0,55.0,53.0,54.0
2015-06-29,BULL,BULL,OBR,HUGE OPEN,SWR,TR,55.0,52.0,52.0,55.0,52.0,54.5
2015-06-30,TR,TR,OIM,NORMAL,SWR,BULL,54.5,54.0,54.0,54.5,54.0,54.5
2015-07-01,TR,TR,OOH,DOJI,WAR,TR,56.0,54.0,54.5,56.0,54.0,55.0
2015-07-02,BULL,BEAR,OIM,NORMAL,SWR,TR,56.0,54.0,55.0,56.0,54.0,54.5
2015-07-03,TR,BULL,OOL,NORMAL,SWR,TR,56.0,54.5,54.5,56.0,54.5,55.5
2015-07-06,BULL,TR,OIM,DOJI,SWR,BULL,56.0,54.5,55.0,56.0,54.5,55.5
2015-07-07,TR,TR,OOH,,SWR,TR,56.5,55.0,56.0,56.5,55.0,56.0
2015-07-08,BEAR,BEAR,OIM,NORMAL,SWR,TR,56.0,52.0,55.5,56.0,52.0,52.0
2015-07-09,BEAR,BEAR,OOL,DOJI,WBR,BEAR,53.0,50.0,52.0,53.0,50.0,50.0
2015-07-10,TR,TR,OOL,NORMAL,SWR,BEAR,51.0,49.5,50.0,51.0,49.5,50.5
2015-07-13,BULL,TR,OIM,NORMAL,SWR,TR,51.5,50.5,50.5,51.5,50.5,51.0
2015-07-14,BEAR,BULL,OIM,HUGE OPEN,WBR,TR,51.0,50.0,51.0,51.0,50.0,51.0
2015-07-15,TR,BULL,OOH,,SWR,TR,52.0,51.0,51.0,52.0,51.0,51.5
2015-07-16,TR,BULL,OOH,,SWR,TR,53.0,52.0,52.0,53.0,52.0,52.0
2015-07-17,BEAR,BEAR,OIM,NORMAL,SWR,TR,53.0,51.5,52.5,53.0,51.5,52.0
2015-07-20,BEAR,BULL,OIM,NORMAL,WBR,TR,53.0,51.0,52.0,53.0,51.0,51.5
2015-07-21,TR,BEAR,OIM,,SWR,TR,52.0,51.0,52.0,52.0,51.0,51.0
2015-07-22,BEAR,TR,OOH,HUGE OPEN,SWR,BEAR,52.0,50.0,52.0,52.0,50.0,51.0
2015-07-23,BULL,BEAR,OOH,NORMAL,SWR,TR,52.0,51.0,51.5,52.0,51.0,51.5
2015-07-24,BULL,BEAR,OIM,HUGE OPEN,SWR,TR,52.0,51.0,51.5,52.0,51.0,52.0
2015-07-27,BEAR,BULL,OOH,HUGE OPEN,SWR,BULL,52.5,51.0,52.0,52.5,51.0,52.5
2015-07-28,BULL,BULL,OIM,NORMAL,WAR,TR,53.5,52.0,52.0,53.5,52.0,53.0
2015-07-29,TR,BULL,OAR,NORMAL,SAR,BULL,55.0,53.5,54.0,55.0,53.5,54.5
2015-07-30,TR,BEAR,OOH,NORMAL,SWR,TR,55.0,54.0,55.0,55.0,54.0,54.0
2015-07-31,TR,BULL,OOL,NORMAL,SWR,BEAR,55.5,54.0,54.0,55.5,54.0,55.0
