Date,OpeningTrend,OpenLocation,PrevDayContext,Result,ResultRet%
2021-07-23 00:00:00+05:30,BULL,,,BULL,9.828
2021-07-26 00:00:00+05:30,TR,OIM,TR,BULL,11.267
2021-07-27 00:00:00+05:30,BULL,OOH,BULL,BEAR,-7.335
2021-07-28 00:00:00+05:30,BEAR,OOL,BEAR,BULL,1.93
2021-07-29 00:00:00+05:30,BEAR,OOH,TR,BULL,4.584
2021-07-30 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-4.267
2021-08-02 00:00:00+05:30,TR,OIM,BEAR,BULL,2.76
2021-08-03 00:00:00+05:30,TR,OIM,TR,BULL,1.342
2021-08-04 00:00:00+05:30,BEAR,OOH,TR,TR,-0.252
2021-08-05 00:00:00+05:30,BEAR,OIM,TR,TR,0.485
2021-08-06 00:00:00+05:30,BEAR,OIM,TR,BEAR,-1.312
2021-08-09 00:00:00+05:30,BULL,OIM,BEAR,BEAR,-3.037
2021-08-10 00:00:00+05:30,BEAR,OIM,TR,BEAR,-1.094
2021-08-11 00:00:00+05:30,TR,OOL,BEAR,BULL,4.264
2021-08-12 00:00:00+05:30,BEAR,OOH,BULL,BULL,2.376
2021-08-13 00:00:00+05:30,TR,OIM,TR,BULL,1.08
2021-08-16 00:00:00+05:30,TR,OIM,BULL,TR,0.184
2021-08-17 00:00:00+05:30,TR,OOL,BEAR,TR,-0.299
2021-08-18 00:00:00+05:30,TR,OAR,TR,TR,0.0
2021-08-20 00:00:00+05:30,TR,OIM,TR,BULL,2.118
2021-08-23 00:00:00+05:30,BEAR,OIM,TR,BEAR,-1.831
2021-08-24 00:00:00+05:30,BEAR,OOL,BEAR,BULL,1.461
2021-08-25 00:00:00+05:30,TR,OOH,TR,TR,-0.279
2021-08-26 00:00:00+05:30,TR,OIM,BEAR,TR,0.08
2021-08-27 00:00:00+05:30,TR,OOH,TR,BEAR,-2.042
2021-08-30 00:00:00+05:30,TR,OOH,TR,BULL,1.538
2021-08-31 00:00:00+05:30,TR,OOH,BULL,BULL,1.316
2021-09-01 00:00:00+05:30,BEAR,OOH,TR,TR,-0.599
2021-09-02 00:00:00+05:30,TR,OIM,TR,BULL,4.066
2021-09-03 00:00:00+05:30,BULL,OIM,BULL,BULL,8.129
2021-09-06 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-1.606
2021-09-07 00:00:00+05:30,TR,OOL,BEAR,BEAR,-3.708
2021-09-08 00:00:00+05:30,TR,OOL,BEAR,TR,0.571
2021-09-09 00:00:00+05:30,TR,OIM,TR,TR,0.106
2021-09-13 00:00:00+05:30,BEAR,OAR,TR,TR,0.14
2021-09-14 00:00:00+05:30,TR,OAR,TR,TR,0.243
2021-09-15 00:00:00+05:30,TR,OIM,TR,TR,-0.21
2021-09-16 00:00:00+05:30,BULL,OIM,TR,BEAR,-1.009
2021-09-17 00:00:00+05:30,BULL,OIM,TR,BEAR,-5.124
2021-09-20 00:00:00+05:30,BULL,OOL,BEAR,BEAR,-3.062
2021-09-21 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-1.332
2021-09-22 00:00:00+05:30,BEAR,OIM,TR,TR,0.076
2021-09-23 00:00:00+05:30,TR,OOH,BEAR,BULL,2.011
2021-09-24 00:00:00+05:30,TR,OIM,TR,BEAR,-1.585
2021-09-27 00:00:00+05:30,BEAR,OAR,TR,BULL,2.395
2021-09-28 00:00:00+05:30,TR,OOH,BULL,BEAR,-1.832
2021-09-29 00:00:00+05:30,TR,OOL,BEAR,TR,0.58
2021-09-30 00:00:00+05:30,BEAR,OOH,TR,BEAR,-1.121
2021-10-01 00:00:00+05:30,BULL,OIM,BEAR,BEAR,-1.39
2021-10-04 00:00:00+05:30,TR,OIM,TR,TR,-0.036
2021-10-05 00:00:00+05:30,BEAR,OIM,TR,TR,-0.217
2021-10-06 00:00:00+05:30,TR,OOH,TR,BEAR,-2.922
2021-10-07 00:00:00+05:30,TR,OIM,BEAR,TR,0.109
2021-10-08 00:00:00+05:30,TR,OOH,TR,BEAR,-1.018
2021-10-11 00:00:00+05:30,BEAR,OOH,TR,TR,0.11
2021-10-12 00:00:00+05:30,TR,OOH,TR,TR,-0.437
2021-10-13 00:00:00+05:30,TR,OOH,TR,BEAR,-1.022
2021-10-14 00:00:00+05:30,BEAR,OIM,BEAR,TR,0.0
2021-10-18 00:00:00+05:30,BULL,OIM,TR,BULL,5.488
2021-10-19 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-2.419
2021-10-20 00:00:00+05:30,BEAR,OOL,BEAR,BULL,0.624
2021-10-21 00:00:00+05:30,BEAR,OOH,TR,TR,0.109
2021-10-22 00:00:00+05:30,TR,OOH,TR,BEAR,-1.115
2021-10-25 00:00:00+05:30,BEAR,OIM,TR,BEAR,-2.206
2021-10-26 00:00:00+05:30,BULL,OOL,BEAR,BEAR,-1.239
2021-10-27 00:00:00+05:30,TR,OOH,TR,BEAR,-1.82
2021-10-28 00:00:00+05:30,BEAR,OOL,TR,BULL,1.802
2021-10-29 00:00:00+05:30,BEAR,OOH,TR,TR,-0.038
2021-11-01 00:00:00+05:30,BEAR,OIM,BEAR,TR,0.264
2021-11-02 00:00:00+05:30,BULL,OIM,BEAR,TR,-0.563
2021-11-03 00:00:00+05:30,BEAR,OIM,TR,BEAR,-0.846
2021-11-04 00:00:00+05:30,TR,OIM,BEAR,TR,0.0
2021-11-08 00:00:00+05:30,TR,OAR,BULL,BEAR,-1.503
2021-11-09 00:00:00+05:30,BEAR,OOH,BEAR,BULL,4.25
2021-11-10 00:00:00+05:30,TR,OIM,BULL,BEAR,-0.727
2021-11-11 00:00:00+05:30,TR,OAR,TR,TR,0.574
2021-11-12 00:00:00+05:30,BULL,OOH,TR,BULL,5.3
2021-11-15 00:00:00+05:30,TR,OIM,BULL,BULL,5.606
2021-11-16 00:00:00+05:30,BULL,OOH,BULL,BEAR,-0.713
2021-11-17 00:00:00+05:30,BULL,OOL,TR,BEAR,-2.519
2021-11-18 00:00:00+05:30,TR,OIM,TR,BEAR,-3.105
2021-11-22 00:00:00+05:30,BEAR,OIM,TR,BEAR,-3.318
2021-11-23 00:00:00+05:30,BULL,OIM,TR,BEAR,-0.637
2021-11-24 00:00:00+05:30,TR,OOH,TR,BULL,3.159
2021-11-25 00:00:00+05:30,BULL,OAR,TR,BULL,1.3
2021-11-26 00:00:00+05:30,TR,OIM,TR,BEAR,-5.515
2021-11-29 00:00:00+05:30,TR,OOL,BEAR,BULL,1.395
2021-11-30 00:00:00+05:30,BULL,OOH,TR,TR,-0.391
2021-12-01 00:00:00+05:30,BEAR,OIM,TR,BEAR,-1.917
2021-12-02 00:00:00+05:30,BEAR,OOL,TR,TR,0.066
2021-12-03 00:00:00+05:30,BEAR,OOH,TR,BEAR,-3.101
2021-12-06 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-3.655
2021-12-07 00:00:00+05:30,BEAR,OIM,BEAR,TR,-0.321
2021-12-08 00:00:00+05:30,BULL,OIM,TR,BULL,4.105
2021-12-09 00:00:00+05:30,BEAR,OAR,BULL,BEAR,-0.914
2021-12-10 00:00:00+05:30,TR,OBR,BEAR,BEAR,-2.896
2021-12-13 00:00:00+05:30,BULL,OIM,BEAR,TR,-0.349
2021-12-14 00:00:00+05:30,TR,OAR,TR,BEAR,-1.745
2021-12-15 00:00:00+05:30,TR,OOL,BEAR,BEAR,-0.673
2021-12-16 00:00:00+05:30,BEAR,OOH,TR,BEAR,-1.42
2021-12-17 00:00:00+05:30,TR,OOL,BEAR,BEAR,-3.012
2021-12-20 00:00:00+05:30,TR,OIM,TR,BEAR,-5.188
2021-12-21 00:00:00+05:30,BULL,OIM,BEAR,TR,0.497
2021-12-22 00:00:00+05:30,BULL,OAR,BULL,BULL,2.304
2021-12-23 00:00:00+05:30,BEAR,OAR,BULL,BEAR,-3.748
2021-12-24 00:00:00+05:30,BEAR,OOL,BEAR,TR,0.306
2021-12-27 00:00:00+05:30,TR,OIM,TR,BULL,2.196
2021-12-28 00:00:00+05:30,TR,OOH,TR,BEAR,-0.748
2021-12-29 00:00:00+05:30,BULL,OIM,TR,BULL,3.082
2021-12-30 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-1.0
2021-12-31 00:00:00+05:30,BULL,OOL,BEAR,BULL,0.883
2022-01-03 00:00:00+05:30,BEAR,OAR,BULL,BULL,1.799
2022-01-04 00:00:00+05:30,BEAR,OOH,TR,TR,-0.072
2022-01-05 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-0.813
2022-01-06 00:00:00+05:30,TR,OBR,BEAR,BEAR,-1.027
2022-01-07 00:00:00+05:30,BEAR,OOL,BEAR,TR,-0.116
2022-01-10 00:00:00+05:30,TR,OIM,TR,TR,-0.115
2022-01-11 00:00:00+05:30,TR,OAR,TR,TR,-0.417
2022-01-12 00:00:00+05:30,TR,OOH,TR,TR,-0.189
2022-01-13 00:00:00+05:30,TR,OIM,TR,TR,0.113
2022-01-14 00:00:00+05:30,BULL,OOH,TR,TR,-0.484
2022-01-17 00:00:00+05:30,BEAR,OIM,TR,TR,0.45
2022-01-18 00:00:00+05:30,BEAR,OOH,TR,TR,-0.187
2022-01-19 00:00:00+05:30,TR,OBR,BEAR,BEAR,-1.9
2022-01-20 00:00:00+05:30,BULL,OBR,BEAR,BEAR,-4.103
2022-01-21 00:00:00+05:30,BEAR,OOL,TR,BEAR,-5.638
2022-01-24 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-10.171
2022-01-25 00:00:00+05:30,TR,OOL,BEAR,BULL,10.022
2022-01-27 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-4.589
2022-01-28 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-2.394
2022-01-31 00:00:00+05:30,BULL,OIM,BEAR,BEAR,-0.932
2022-02-01 00:00:00+05:30,BULL,OOH,TR,TR,0.584
2022-02-02 00:00:00+05:30,BULL,OOH,BULL,BULL,1.281
2022-02-03 00:00:00+05:30,BEAR,OOH,BULL,BULL,0.934
2022-02-04 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-2.332
2022-02-07 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-0.69
2022-02-08 00:00:00+05:30,BEAR,OIM,BEAR,BULL,0.701
2022-02-09 00:00:00+05:30,TR,OOH,TR,TR,-0.264
2022-02-10 00:00:00+05:30,BEAR,OOH,TR,BULL,1.664
2022-02-11 00:00:00+05:30,BEAR,OBR,TR,BEAR,-0.616
2022-02-14 00:00:00+05:30,BEAR,OOL,TR,BEAR,-3.112
2022-02-15 00:00:00+05:30,BEAR,OIM,BEAR,BULL,2.031
2022-02-16 00:00:00+05:30,BULL,OAR,TR,BEAR,-0.99
2022-02-17 00:00:00+05:30,TR,OOH,TR,BULL,3.547
2022-02-18 00:00:00+05:30,BEAR,OIM,BULL,BEAR,-1.317
2022-02-21 00:00:00+05:30,BEAR,OBR,BEAR,BEAR,-1.33
2022-02-22 00:00:00+05:30,TR,OBR,BEAR,TR,0.0
2022-02-23 00:00:00+05:30,TR,OAR,BULL,BULL,2.741
2022-02-24 00:00:00+05:30,BULL,OBR,BULL,BEAR,-2.185
2022-02-25 00:00:00+05:30,TR,OAR,TR,BEAR,-3.609
2022-02-28 00:00:00+05:30,TR,OOL,BEAR,BULL,3.787
2022-03-02 00:00:00+05:30,TR,OOH,TR,TR,-0.499
2022-03-03 00:00:00+05:30,TR,OOH,TR,TR,0.55
2022-03-04 00:00:00+05:30,TR,OBR,TR,TR,-0.556
2022-03-07 00:00:00+05:30,BEAR,OBR,TR,TR,0.254
2022-03-08 00:00:00+05:30,BULL,OOH,TR,BEAR,-2.43
2022-03-09 00:00:00+05:30,BULL,OIM,TR,BULL,0.817
2022-03-10 00:00:00+05:30,BEAR,OAR,BULL,TR,0.061
2022-03-11 00:00:00+05:30,BEAR,OIM,TR,BEAR,-2.137
2022-03-14 00:00:00+05:30,BEAR,OIM,BEAR,TR,0.442
2022-03-15 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-2.109
2022-03-16 00:00:00+05:30,BEAR,OAR,BEAR,TR,0.33
2022-03-17 00:00:00+05:30,BULL,OIM,BEAR,BULL,3.061
2022-03-21 00:00:00+05:30,BULL,OAR,BULL,BEAR,-3.189
2022-03-22 00:00:00+05:30,BEAR,OIM,TR,BULL,1.693
2022-03-23 00:00:00+05:30,TR,OAR,TR,TR,-0.554
2022-03-24 00:00:00+05:30,BULL,OOL,BEAR,BEAR,-1.592
2022-03-25 00:00:00+05:30,TR,OIM,TR,BEAR,-0.677
2022-03-28 00:00:00+05:30,BEAR,OOL,TR,TR,-0.375
2022-03-29 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-1.573
2022-03-30 00:00:00+05:30,TR,OIM,BEAR,BULL,7.702
2022-03-31 00:00:00+05:30,BEAR,OAR,BULL,BEAR,-4.77
2022-04-01 00:00:00+05:30,BULL,OOL,BEAR,BULL,1.38
2022-04-04 00:00:00+05:30,BULL,OIM,TR,BULL,0.644
2022-04-05 00:00:00+05:30,BULL,OBR,TR,TR,0.299
2022-04-06 00:00:00+05:30,BULL,OIM,TR,TR,-0.471
2022-04-07 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-1.432
2022-04-08 00:00:00+05:30,TR,OIM,BEAR,TR,0.3
2022-04-11 00:00:00+05:30,TR,OOL,TR,BULL,1.376
2022-04-12 00:00:00+05:30,BEAR,OIM,TR,TR,-0.488
2022-04-13 00:00:00+05:30,BULL,OIM,BEAR,TR,-0.119
2022-04-18 00:00:00+05:30,BEAR,OOL,TR,TR,-0.181
2022-04-19 00:00:00+05:30,TR,OOL,TR,BEAR,-3.131
2022-04-20 00:00:00+05:30,BULL,OIM,BEAR,BEAR,-1.829
2022-04-21 00:00:00+05:30,TR,OIM,BEAR,TR,-0.186
2022-04-22 00:00:00+05:30,TR,OOL,TR,TR,0.433
2022-04-25 00:00:00+05:30,TR,OOL,TR,BEAR,-3.138
2022-04-26 00:00:00+05:30,BEAR,OIM,BEAR,TR,-0.063
2022-04-27 00:00:00+05:30,BEAR,OIM,TR,BEAR,-2.189
2022-04-28 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-2.889
2022-04-29 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-0.762
2022-05-02 00:00:00+05:30,TR,OOL,BEAR,BEAR,-2.319
2022-05-04 00:00:00+05:30,TR,OIM,BEAR,BEAR,-6.028
2022-05-05 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-5.345
2022-05-06 00:00:00+05:30,TR,OBR,BEAR,BEAR,-2.179
2022-05-09 00:00:00+05:30,BEAR,OIM,BULL,BEAR,-2.051
2022-05-10 00:00:00+05:30,TR,OOL,BEAR,BEAR,-4.942
2022-05-11 00:00:00+05:30,BULL,OOL,BEAR,TR,-0.457
2022-05-12 00:00:00+05:30,BEAR,OIM,TR,TR,0.0
2022-05-13 00:00:00+05:30,TR,OOH,BEAR,BULL,6.906
2022-05-16 00:00:00+05:30,TR,OIM,BULL,BEAR,-1.661
2022-05-17 00:00:00+05:30,BEAR,OIM,TR,BULL,0.717
2022-05-18 00:00:00+05:30,BULL,OIM,TR,BULL,0.864
2022-05-19 00:00:00+05:30,TR,OOL,BULL,BEAR,-2.116
2022-05-20 00:00:00+05:30,TR,OOH,BEAR,BULL,2.195
