Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow,Open,High,Low,Close
2018-03-28,TR,BEAR,,,,,591.3,560.5,576.0,591.3,560.5,562.5
2018-04-02,BULL,TR,OOL,DOJI,SWR,TR,577.5,559.0,565.0,577.5,559.0,575.0
2018-04-03,TR,BEAR,OOH,NORMAL,SWR,BULL,573.5,563.2,573.5,573.5,563.2,564.5
2018-04-04,BEAR,BEAR,OIM,NORMAL,SWR,BEAR,570.0,557.5,567.5,570.0,557.5,557.5
2018-04-05,TR,BEAR,OOL,NORMAL,SWR,BEAR,565.5,554.75,561.05,565.5,554.75,556.5
2018-04-06,TR,TR,OBR,NORMAL,SWR,TR,559.4,550.0,552.5,559.4,550.0,551.0
2018-04-09,TR,TR,OOL,NORMAL,SWR,TR,556.0,550.55,552.5,556.0,550.55,551.85
2018-04-10,BEAR,TR,OOH,NORMAL,SWR,TR,555.0,546.3,555.0,555.0,546.3,551.0
2018-04-11,TR,TR,OIM,NORMAL,SWR,TR,553.0,547.5,551.0,553.0,547.5,547.5
2018-04-12,BEAR,TR,OOL,NORMAL,WBR,BEAR,549.0,540.05,549.0,549.0,540.05,541.6
2018-04-13,BEAR,BULL,OAR,NORMAL,SAR,BEAR,574.3,553.55,559.45,574.3,553.55,561.5
2018-04-16,TR,BULL,OIM,NORMAL,SWR,TR,579.5,562.0,562.5,579.5,562.0,573.5
2018-04-17,BEAR,BEAR,OOH,NORMAL,WAR,BULL,582.0,571.0,578.5,582.0,571.0,571.0
2018-04-18,TR,BEAR,OIM,NORMAL,SWR,BEAR,577.5,562.5,574.65,577.5,562.5,563.5
2018-04-19,BULL,BEAR,OIM,NORMAL,SWR,BEAR,576.7,564.55,570.0,576.7,564.55,570.6
2018-04-20,TR,BEAR,OIM,NORMAL,SWR,TR,572.95,559.0,570.6,572.95,559.0,560.55
2018-04-23,BULL,TR,OOL,NORMAL,SWR,BEAR,574.5,561.2,562.8,574.5,561.2,566.5
2018-04-24,BEAR,TR,OIM,NORMAL,SWR,TR,572.2,565.0,568.5,572.2,565.0,565.65
2018-04-25,TR,BEAR,OOL,DOJI,SWR,TR,572.95,561.4,565.55,572.95,561.4,562.25
2018-04-26,TR,TR,OOL,NORMAL,SWR,TR,569.0,562.5,564.8,569.0,562.5,564.3
2018-04-27,BEAR,TR,OIM,DOJI,SWR,TR,567.5,561.0,566.3,567.5,561.0,563.5
2018-04-30,TR,TR,OIM,NORMAL,SWR,TR,567.0,559.5,563.5,567.0,559.5,559.55
2018-05-02,BULL,BEAR,OOL,NORMAL,SWR,BEAR,566.0,555.6,560.0,566.0,555.6,558.45
2018-05-03,BEAR,BEAR,OOL,NORMAL,WBR,TR,557.5,544.6,557.05,557.5,544.6,547.25
2018-05-04,TR,TR,OIM,NORMAL,SWR,BEAR,551.0,545.0,550.5,551.0,545.0,545.5
2018-05-07,TR,BULL,OOL,NORMAL,SWR,BEAR,561.0,541.0,545.5,561.0,541.0,552.6
2018-05-08,TR,TR,OIM,NORMAL,SWR,TR,559.45,549.5,550.9,559.45,549.5,550.5
