Date,OpeningTrend,OpenLocation,PrevDayContext,Result,ResultRet%
2023-08-21 00:00:00+05:30,BEAR,,,BEAR,-5.0
2023-08-22 00:00:00+05:30,TR,OBR,BEAR,TR,0.0
2023-08-23 00:00:00+05:30,TR,OBR,TR,TR,0.0
2023-08-24 00:00:00+05:30,TR,OBR,TR,TR,0.0
2023-08-25 00:00:00+05:30,TR,OBR,TR,BULL,5.054
2023-08-28 00:00:00+05:30,BULL,OIM,BULL,BEAR,-1.522
2023-08-29 00:00:00+05:30,BULL,OIM,TR,BULL,0.721
2023-08-30 00:00:00+05:30,BULL,OAR,BULL,TR,0.0
2023-08-31 00:00:00+05:30,BULL,OAR,BULL,BEAR,-4.469
2023-09-01 00:00:00+05:30,BULL,OIM,TR,BULL,1.764
2023-09-04 00:00:00+05:30,BEAR,OAR,BULL,TR,0.278
2023-09-05 00:00:00+05:30,BULL,OIM,TR,BEAR,-1.811
2023-09-06 00:00:00+05:30,TR,OBR,TR,BULL,3.183
2023-09-07 00:00:00+05:30,BULL,OIM,TR,BEAR,-1.854
2023-09-08 00:00:00+05:30,TR,OIM,TR,TR,0.079
2023-09-11 00:00:00+05:30,BEAR,OAR,TR,BEAR,-1.125
2023-09-12 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-1.509
2023-09-13 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-1.678
2023-09-14 00:00:00+05:30,BULL,OIM,TR,TR,-0.554
2023-09-15 00:00:00+05:30,TR,OOH,TR,BEAR,-0.825
2023-09-18 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-2.244
2023-09-20 00:00:00+05:30,TR,OBR,BEAR,TR,-0.109
2023-09-21 00:00:00+05:30,BULL,OIM,TR,BEAR,-2.65
2023-09-22 00:00:00+05:30,BULL,OOL,TR,BEAR,-1.043
2023-09-25 00:00:00+05:30,TR,OIM,TR,TR,0.0
2023-09-26 00:00:00+05:30,BEAR,OAR,TR,TR,0.13
2023-09-27 00:00:00+05:30,BEAR,OOH,TR,BEAR,-0.742
2023-09-28 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-0.902
2023-09-29 00:00:00+05:30,BULL,OOL,BEAR,BULL,2.547
2023-10-03 00:00:00+05:30,TR,OOH,BULL,TR,-0.086
2023-10-04 00:00:00+05:30,TR,OBR,TR,BEAR,-1.683
2023-10-05 00:00:00+05:30,BEAR,OIM,BEAR,TR,0.511
2023-10-06 00:00:00+05:30,TR,OIM,TR,TR,-0.596
2023-10-09 00:00:00+05:30,TR,OBR,TR,TR,-0.588
2023-10-10 00:00:00+05:30,BULL,OIM,BEAR,BEAR,-1.721
2023-10-11 00:00:00+05:30,TR,OIM,TR,TR,-0.516
2023-10-12 00:00:00+05:30,BEAR,OOH,BULL,TR,-0.066
2023-10-13 00:00:00+05:30,TR,OBR,BEAR,BULL,0.604
2023-10-16 00:00:00+05:30,TR,OOH,TR,TR,0.178
2023-10-17 00:00:00+05:30,BEAR,OAR,TR,BEAR,-2.686
2023-10-18 00:00:00+05:30,TR,OOL,BEAR,BEAR,-1.796
2023-10-19 00:00:00+05:30,BEAR,OOL,BEAR,BULL,1.156
2023-10-20 00:00:00+05:30,BULL,OOH,TR,BEAR,-0.602
2023-10-23 00:00:00+05:30,BEAR,OOL,TR,BEAR,-2.211
2023-10-25 00:00:00+05:30,BULL,OOL,BEAR,TR,-0.261
2023-10-26 00:00:00+05:30,BEAR,OOL,BULL,BULL,3.361
2023-10-27 00:00:00+05:30,BEAR,OAR,BULL,TR,0.252
2023-10-30 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-1.968
2023-10-31 00:00:00+05:30,BEAR,OIM,BEAR,TR,-0.387
2023-11-01 00:00:00+05:30,BULL,OOL,BEAR,BEAR,-1.415
2023-11-02 00:00:00+05:30,TR,OIM,TR,TR,-0.161
2023-11-03 00:00:00+05:30,TR,OOH,BEAR,TR,0.046
2023-11-06 00:00:00+05:30,BEAR,OOH,TR,TR,-0.298
2023-11-07 00:00:00+05:30,TR,OOL,BEAR,TR,-0.253
2023-11-08 00:00:00+05:30,BEAR,OIM,TR,BEAR,-1.337
2023-11-09 00:00:00+05:30,TR,OOL,BEAR,TR,0.116
2023-11-10 00:00:00+05:30,TR,OOL,TR,BULL,2.786
2023-11-12 00:00:00+05:30,TR,OAR,BULL,TR,0.0
2023-11-13 00:00:00+05:30,TR,OBR,TR,TR,0.404
2023-11-15 00:00:00+05:30,BEAR,OAR,TR,TR,-0.311
2023-11-16 00:00:00+05:30,BEAR,OIM,BEAR,TR,0.536
2023-11-17 00:00:00+05:30,BEAR,OIM,TR,BEAR,-0.831
2023-11-20 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-0.758
2023-11-21 00:00:00+05:30,BULL,OIM,BEAR,TR,0.433
2023-11-22 00:00:00+05:30,BULL,OIM,TR,TR,0.593
2023-11-23 00:00:00+05:30,BEAR,OOH,BULL,TR,0.068
2023-11-24 00:00:00+05:30,TR,OIM,TR,BULL,1.787
2023-11-28 00:00:00+05:30,BULL,OAR,BULL,BEAR,-1.786
2023-11-29 00:00:00+05:30,TR,OIM,TR,BEAR,-0.703
2023-11-30 00:00:00+05:30,BEAR,OIM,BEAR,BULL,1.691
2023-12-01 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-2.065
2023-12-04 00:00:00+05:30,BEAR,OOH,BEAR,TR,0.393
2023-12-05 00:00:00+05:30,TR,OOH,TR,BULL,4.803
2023-12-06 00:00:00+05:30,BULL,OOH,BULL,TR,-0.182
2023-12-07 00:00:00+05:30,TR,OIM,TR,TR,-0.02
2023-12-08 00:00:00+05:30,BEAR,OIM,TR,BEAR,-0.932
2023-12-11 00:00:00+05:30,TR,OIM,TR,TR,-0.081
2023-12-12 00:00:00+05:30,BEAR,OOH,TR,BEAR,-2.155
2023-12-13 00:00:00+05:30,BEAR,OIM,BEAR,TR,-0.56
2023-12-14 00:00:00+05:30,BULL,OAR,TR,BEAR,-1.85
2023-12-15 00:00:00+05:30,TR,OIM,BEAR,BEAR,-0.752
2023-12-18 00:00:00+05:30,TR,OOH,TR,TR,-0.063
2023-12-19 00:00:00+05:30,BEAR,OIM,TR,BEAR,-0.625
2023-12-20 00:00:00+05:30,BULL,OIM,BEAR,BEAR,-3.27
2023-12-21 00:00:00+05:30,BULL,OOL,TR,BULL,1.019
2023-12-22 00:00:00+05:30,TR,OAR,BULL,BEAR,-0.962
2023-12-26 00:00:00+05:30,TR,OIM,TR,BEAR,-0.676
2023-12-27 00:00:00+05:30,TR,OIM,BEAR,BEAR,-0.657
2023-12-28 00:00:00+05:30,TR,OIM,BEAR,BEAR,-0.871
2023-12-29 00:00:00+05:30,TR,OIM,TR,TR,-0.555
2024-01-01 00:00:00+05:30,BULL,OIM,TR,TR,0.149
2024-01-02 00:00:00+05:30,TR,OIM,TR,TR,-0.106
2024-01-03 00:00:00+05:30,BEAR,OOH,TR,TR,0.064
2024-01-04 00:00:00+05:30,BEAR,OAR,TR,BULL,1.727
2024-01-05 00:00:00+05:30,BULL,OAR,TR,BEAR,-1.338
2024-01-08 00:00:00+05:30,BEAR,OOH,TR,TR,-0.165
