Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow,Open,High,Low,Close
2015-02-02,TR,BULL,,,,,125.25,120.05,121.6,125.25,120.05,124.65
2015-02-03,BEAR,BEAR,OAR,DOJI,SWR,BULL,126.2,111.2,125.9,126.2,111.2,111.5
2015-02-04,TR,BEAR,OOL,NORMAL,WBR,BEAR,114.6,106.5,112.55,114.6,106.5,107.1
2015-02-05,BULL,BEAR,OOL,NORMAL,SWR,BEAR,110.75,103.15,108.1,110.75,103.15,104.65
2015-02-06,BULL,BEAR,OOL,NORMAL,SWR,BEAR,106.3,97.9,105.0,106.3,97.9,102.2
2015-02-09,BULL,BULL,OIM,DOJI,SWR,TR,106.75,99.6,100.6,106.75,99.6,104.4
2015-02-10,BULL,TR,OIM,NORMAL,SWR,BULL,108.8,103.1,103.5,108.8,103.1,107.6
2015-02-11,BULL,TR,OOH,NORMAL,WAR,BULL,112.45,107.9,107.95,112.45,107.9,112.0
2015-02-12,TR,BULL,OOH,NORMAL,SWR,BULL,113.25,108.45,112.0,113.25,108.45,112.8
2015-02-13,TR,BULL,OAR,NORMAL,SWR,TR,115.55,111.1,113.35,115.55,111.1,114.45
2015-02-16,TR,BEAR,OOH,NORMAL,WAR,TR,115.8,111.6,114.5,115.8,111.6,112.3
2015-02-18,TR,BULL,OOL,NORMAL,SWR,BEAR,117.1,111.85,112.5,117.1,111.85,116.8
2015-02-19,BEAR,BULL,OAR,NORMAL,SWR,BULL,120.0,114.75,117.45,120.0,114.75,117.9
2015-02-20,TR,TR,OOH,NORMAL,SWR,TR,118.95,115.3,118.85,118.95,115.3,116.1
2015-02-23,TR,BEAR,OIM,NORMAL,SWR,BEAR,117.5,112.6,116.5,117.5,112.6,113.7
2015-02-24,BULL,TR,OOL,DOJI,SWR,BEAR,115.2,111.8,113.5,115.2,111.8,114.7
2015-02-25,TR,BEAR,OOH,NORMAL,WAR,TR,115.7,113.45,114.65,115.7,113.45,113.9
2015-02-26,BEAR,BULL,OOL,NORMAL,SWR,TR,116.7,112.0,114.0,116.7,112.0,113.65
2015-02-27,BULL,BULL,OIM,NORMAL,SWR,TR,119.5,113.95,113.95,119.5,113.95,119.3
2015-02-28,TR,BEAR,OOH,DOJI,WAR,BULL,120.7,112.2,119.5,120.7,112.2,114.75
2015-03-02,BEAR,BEAR,OIM,DOJI,SWR,BEAR,116.6,112.25,115.85,116.6,112.25,112.9
2015-03-03,TR,TR,OIM,NORMAL,SWR,BEAR,115.5,113.2,114.15,115.5,113.2,114.2
2015-03-04,TR,BEAR,OOH,NORMAL,SWR,TR,118.1,111.8,115.1,118.1,111.8,112.5
2015-03-05,TR,TR,OOL,NORMAL,SWR,TR,114.1,110.4,113.35,114.1,110.4,113.5
2015-03-09,TR,BULL,OIM,NORMAL,SWR,TR,114.35,111.2,112.5,114.35,111.2,113.6
2015-03-10,BEAR,TR,OOH,NORMAL,SWR,TR,114.7,110.05,114.0,114.7,110.05,112.0
2015-03-11,BEAR,TR,OIM,HUGE OPEN,WBR,TR,112.1,106.7,112.1,112.1,106.7,109.15
2015-03-12,TR,BULL,OIM,NORMAL,SWR,TR,111.9,109.15,109.95,111.9,109.15,111.65
2015-03-13,BULL,BEAR,OAR,HUGE OPEN,SAR,BULL,117.0,112.1,112.2,117.0,112.1,115.65
2015-03-16,TR,TR,OIM,NORMAL,SWR,BULL,115.2,113.1,114.3,115.2,113.1,114.0
2015-03-17,BULL,BULL,OOH,NORMAL,WAR,TR,120.45,114.75,114.75,120.45,114.75,120.4
2015-03-18,TR,BEAR,OAR,NORMAL,SAR,BULL,122.2,117.35,121.9,122.2,117.35,118.5
2015-03-19,TR,BEAR,OIM,DOJI,SWR,BEAR,120.3,115.75,119.3,120.3,115.75,116.6
2015-03-20,BULL,BULL,OOL,NORMAL,SWR,BEAR,119.85,115.75,116.85,119.85,115.75,118.95
2015-03-23,BEAR,TR,OOH,NORMAL,SWR,BULL,119.0,117.1,118.9,119.0,117.1,118.5
2015-03-24,BEAR,BULL,OOH,NORMAL,SWR,TR,122.5,116.7,118.5,122.5,116.7,121.6
2015-03-25,BEAR,TR,OAR,NORMAL,SWR,BULL,123.75,121.1,122.9,123.75,121.1,121.7
2015-03-26,TR,TR,OOL,NORMAL,SWR,BEAR,122.0,119.0,121.2,122.0,119.0,119.55
2015-03-27,BEAR,BEAR,OIM,DOJI,SWR,BEAR,121.5,116.55,121.05,121.5,116.55,118.85
2015-03-30,BEAR,BEAR,OOH,DOJI,SWR,TR,121.6,116.3,120.55,121.6,116.3,119.75
2015-03-31,TR,TR,OIM,,SWR,TR,120.0,120.0,120.0,120.0,120.0,120.0
2015-04-01,TR,TR,,,,TR,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-06,TR,TR,,,,TR,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-07,TR,TR,,,,TR,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-08,BEAR,TR,,,,TR,119.7,117.65,119.5,119.7,117.65,118.1
2015-04-09,BULL,BEAR,OOH,DOJI,WAR,BEAR,122.75,118.75,119.4,122.75,118.75,120.1
2015-04-10,BEAR,TR,OIM,NORMAL,SWR,TR,120.9,118.8,120.1,120.9,118.8,120.2
2015-04-13,TR,TR,OIM,DOJI,SWR,TR,120.4,118.7,119.95,120.4,118.7,119.0
2015-04-15,TR,BEAR,OIM,DOJI,SWR,BEAR,119.95,115.05,119.25,119.95,115.05,115.65
2015-04-16,BEAR,TR,OOL,DOJI,WBR,BEAR,115.65,112.45,115.5,115.65,112.45,114.05
