Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow,Open,High,Low,Close
2022-05-17,TR,TR,,,,,918.1,862.0,872.0,918.1,862.0,873.0
2022-05-18,TR,BEAR,OIM,DOJI,SWR,TR,890.45,874.4,885.55,890.45,874.4,874.9
2022-05-19,BEAR,BEAR,OBR,NORMAL,SBR,BEAR,867.0,838.0,867.0,867.0,838.0,840.4
2022-05-20,TR,BEAR,OIM,NORMAL,SWR,BEAR,856.75,825.0,848.55,856.75,825.0,825.5
2022-05-23,BEAR,BULL,OOL,NORMAL,WBR,BEAR,852.7,804.6,826.15,852.7,804.6,814.85
2022-05-24,TR,TR,OOL,NORMAL,SWR,TR,834.55,817.9,818.0,834.55,817.9,824.8
2022-05-25,BULL,BEAR,OOH,DOJI,WAR,TR,841.0,814.25,831.5,841.0,814.25,814.95
2022-05-26,BEAR,TR,OOL,DOJI,SWR,BEAR,824.8,801.0,820.3,824.8,801.0,812.85
2022-05-27,TR,TR,OOH,NORMAL,SWR,TR,824.55,814.4,818.55,824.55,814.4,823.25
2022-05-30,BEAR,BULL,OAR,DOJI,SAR,BULL,841.0,825.5,829.9,841.0,825.5,836.85
2022-05-31,BULL,TR,OBR,NORMAL,SBR,TR,822.0,810.0,810.0,822.0,810.0,810.9
2022-06-01,BEAR,TR,OOL,NORMAL,SWR,TR,817.45,808.7,811.4,817.45,808.7,809.95
2022-06-02,BEAR,TR,OOL,NORMAL,SWR,TR,813.8,804.35,809.95,813.8,804.35,804.95
2022-06-03,BEAR,BEAR,OIM,NORMAL,SWR,BEAR,810.75,800.0,808.65,810.75,800.0,800.45
2022-06-06,BEAR,BEAR,OOL,HUGE OPEN,WBR,BEAR,801.7,775.1,800.25,801.7,775.1,777.0
2022-06-07,BEAR,BEAR,OBR,NORMAL,SBR,BEAR,772.9,751.9,772.9,772.9,751.9,752.9
