Date,OpeningTrend,OpenLocation,PrevDayContext,Result,ResultRet%
2024-11-13 00:00:00+05:30,BULL,,,BULL,7.619
2024-11-14 00:00:00+05:30,BEAR,OAR,BULL,TR,-0.52
2024-11-18 00:00:00+05:30,BULL,OBR,BEAR,BEAR,-3.457
2024-11-19 00:00:00+05:30,TR,OIM,TR,BEAR,-1.744
2024-11-21 00:00:00+05:30,TR,OOL,BEAR,BULL,2.548
2024-11-22 00:00:00+05:30,BEAR,OIM,TR,BULL,1.473
2024-11-25 00:00:00+05:30,TR,OOH,TR,BULL,2.531
2024-11-26 00:00:00+05:30,TR,OAR,TR,BULL,1.921
2024-11-27 00:00:00+05:30,BULL,OOH,BULL,BULL,3.797
2024-11-28 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-1.375
2024-11-29 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-2.239
2024-12-02 00:00:00+05:30,BEAR,OIM,TR,BULL,4.76
2024-12-03 00:00:00+05:30,TR,OAR,BULL,TR,-0.175
2024-12-04 00:00:00+05:30,TR,OIM,TR,TR,0.28
2024-12-05 00:00:00+05:30,TR,OIM,TR,BULL,5.456
2024-12-06 00:00:00+05:30,BULL,OIM,TR,TR,0.101
2024-12-09 00:00:00+05:30,BEAR,OIM,TR,BEAR,-0.823
2024-12-10 00:00:00+05:30,BEAR,OAR,TR,BEAR,-1.428
2024-12-11 00:00:00+05:30,BEAR,OBR,BEAR,TR,0.365
2024-12-12 00:00:00+05:30,BEAR,OIM,BEAR,TR,-0.53
2024-12-13 00:00:00+05:30,TR,OOL,BEAR,BULL,3.999
2024-12-16 00:00:00+05:30,BULL,OAR,BULL,BULL,6.78
2024-12-17 00:00:00+05:30,BULL,OOH,BULL,BEAR,-0.965
2024-12-18 00:00:00+05:30,TR,OOL,TR,BEAR,-2.144
2024-12-19 00:00:00+05:30,BULL,OBR,TR,BULL,0.605
2024-12-20 00:00:00+05:30,BULL,OIM,TR,BEAR,-1.881
2024-12-23 00:00:00+05:30,BEAR,OOH,TR,TR,0.301
2024-12-24 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-0.807
2024-12-26 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-1.257
2024-12-27 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-1.276
2024-12-30 00:00:00+05:30,BULL,OOL,BEAR,TR,-0.343
2024-12-31 00:00:00+05:30,BEAR,OIM,TR,BEAR,-1.53
2025-01-01 00:00:00+05:30,TR,OIM,TR,TR,-0.376
2025-01-02 00:00:00+05:30,BEAR,OIM,TR,BULL,2.656
2025-01-03 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-1.756
2025-01-06 00:00:00+05:30,TR,OOL,BEAR,BEAR,-2.478
2025-01-07 00:00:00+05:30,TR,OIM,TR,BEAR,-2.438
2025-01-08 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-1.347
2025-01-09 00:00:00+05:30,TR,OIM,BEAR,TR,0.0
2025-01-10 00:00:00+05:30,BEAR,OOL,TR,TR,-0.162
2025-01-13 00:00:00+05:30,BEAR,OBR,BEAR,BEAR,-3.462
2025-01-14 00:00:00+05:30,BULL,OOL,BEAR,BEAR,-1.232
2025-01-15 00:00:00+05:30,BULL,OIM,TR,BULL,3.028
2025-01-16 00:00:00+05:30,BEAR,OAR,BULL,BEAR,-3.748
2025-01-17 00:00:00+05:30,BEAR,OOL,BEAR,TR,-0.379
2025-01-20 00:00:00+05:30,BEAR,OIM,TR,BULL,2.168
2025-01-21 00:00:00+05:30,BEAR,OOL,TR,BEAR,-1.785
2025-01-22 00:00:00+05:30,BEAR,OIM,BEAR,TR,0.268
2025-01-23 00:00:00+05:30,BULL,OIM,TR,BULL,2.311
2025-01-24 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-1.605
2025-01-27 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-3.37
2025-01-28 00:00:00+05:30,BEAR,OOL,BEAR,BULL,1.408
2025-01-29 00:00:00+05:30,BULL,OOH,TR,BULL,0.956
2025-01-30 00:00:00+05:30,TR,OOH,BULL,BEAR,-3.753
2025-01-31 00:00:00+05:30,BULL,OIM,BEAR,BULL,1.045
2025-02-01 00:00:00+05:30,BULL,OOH,BULL,BULL,4.437
2025-02-03 00:00:00+05:30,BEAR,OIM,TR,BULL,6.828
2025-02-04 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-1.776
2025-02-05 00:00:00+05:30,BEAR,OBR,BEAR,BEAR,-1.483
2025-02-06 00:00:00+05:30,BULL,OBR,BEAR,BEAR,-3.402
2025-02-07 00:00:00+05:30,BEAR,OIM,TR,BEAR,-2.488
2025-02-10 00:00:00+05:30,BEAR,OOL,BEAR,TR,-0.412
2025-02-11 00:00:00+05:30,BEAR,OIM,BEAR,BEAR,-6.079
2025-02-12 00:00:00+05:30,TR,OOL,BEAR,BULL,1.788
2025-02-13 00:00:00+05:30,BULL,OOH,TR,BULL,4.13
2025-02-14 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-2.568
2025-02-17 00:00:00+05:30,BULL,OIM,TR,BEAR,-1.548
2025-02-18 00:00:00+05:30,BEAR,OOL,TR,BULL,5.025
2025-02-19 00:00:00+05:30,BULL,OIM,TR,BULL,6.028
2025-02-20 00:00:00+05:30,BULL,OOH,BULL,BEAR,-1.535
2025-02-21 00:00:00+05:30,BEAR,OOL,TR,BEAR,-2.501
2025-02-24 00:00:00+05:30,TR,OOL,BEAR,BULL,3.57
2025-02-25 00:00:00+05:30,BEAR,OOH,BULL,BEAR,-1.293
2025-02-27 00:00:00+05:30,BEAR,OIM,BEAR,TR,0.188
2025-02-28 00:00:00+05:30,BULL,OBR,BEAR,BEAR,-3.821
2025-03-03 00:00:00+05:30,BEAR,OIM,TR,TR,-0.274
2025-03-04 00:00:00+05:30,BULL,OOL,TR,BULL,4.015
2025-03-05 00:00:00+05:30,TR,OOH,BULL,BULL,3.333
2025-03-06 00:00:00+05:30,BULL,OOH,BULL,BEAR,-3.165
2025-03-07 00:00:00+05:30,TR,OOL,TR,BULL,0.839
2025-03-10 00:00:00+05:30,BEAR,OAR,TR,TR,0.307
2025-03-11 00:00:00+05:30,BEAR,OBR,TR,TR,0.527
2025-03-12 00:00:00+05:30,TR,OAR,TR,BEAR,-2.456
2025-03-13 00:00:00+05:30,TR,OIM,BEAR,BULL,0.844
2025-03-17 00:00:00+05:30,BULL,OOH,TR,TR,-0.253
2025-03-18 00:00:00+05:30,TR,OOH,TR,TR,0.394
2025-03-19 00:00:00+05:30,BULL,OOH,TR,BULL,0.867
2025-03-20 00:00:00+05:30,BEAR,OIM,TR,BEAR,-1.546
2025-03-21 00:00:00+05:30,TR,OIM,BEAR,BEAR,-0.887
2025-03-24 00:00:00+05:30,TR,OIM,TR,TR,-0.467
2025-03-25 00:00:00+05:30,BEAR,OIM,TR,BEAR,-2.906
2025-03-26 00:00:00+05:30,TR,OBR,BEAR,BEAR,-2.423
