Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow,Open,High,Low,Close
2015-02-02,TR,BULL,,,,,595.65,581.25,586.6,595.65,581.25,592.25
2015-02-03,BULL,BULL,OAR,NORMAL,SAR,TR,612.0,596.25,597.0,612.0,596.25,598.9
2015-02-04,BEAR,BEAR,OIM,NORMAL,SWR,TR,606.3,588.25,605.0,606.3,588.25,592.0
2015-02-05,BEAR,BULL,OOL,NORMAL,WBR,BEAR,602.8,582.15,591.95,602.8,582.15,588.4
2015-02-06,BEAR,TR,OBR,NORMAL,SBR,TR,570.3,552.2,570.3,570.3,552.2,559.95
2015-02-09,TR,BEAR,OBR,NORMAL,SWR,TR,554.25,541.35,548.0,554.25,541.35,542.8
2015-02-10,BULL,BULL,OOL,HUGE OPEN,SWR,TR,568.0,543.45,544.1,568.0,543.45,563.7
2015-02-11,BEAR,TR,OOH,NORMAL,SWR,BULL,570.9,553.75,567.0,570.9,553.75,560.15
2015-02-12,TR,TR,OIM,NORMAL,SWR,TR,565.7,552.55,562.55,565.7,552.55,563.05
2015-02-13,BEAR,BULL,OIM,NORMAL,SWR,TR,567.2,555.65,560.15,567.2,555.65,565.2
2015-02-16,BULL,BEAR,OAR,HUGE OPEN,SAR,TR,580.45,565.75,569.05,580.45,565.75,574.0
2015-02-18,BEAR,BULL,OIM,NORMAL,WBR,TR,587.0,560.8,572.05,587.0,560.8,583.1
2015-02-19,TR,BEAR,OOH,DOJI,WAR,TR,592.55,572.2,585.1,592.55,572.2,578.0
2015-02-20,TR,TR,OIM,NORMAL,SWR,TR,585.0,572.85,579.15,585.0,572.85,580.0
2015-02-23,TR,BEAR,OOH,DOJI,SWR,TR,584.35,572.15,582.4,584.35,572.15,575.5
2015-02-24,BEAR,BEAR,OIM,HUGE OPEN,WBR,BEAR,578.0,560.1,577.35,578.0,560.1,566.0
2015-02-25,BULL,TR,OIM,NORMAL,SWR,BEAR,576.0,564.2,566.2,576.0,564.2,567.0
2015-02-26,TR,BEAR,OIM,NORMAL,SWR,TR,572.05,558.45,570.7,572.05,558.45,562.4
2015-02-27,TR,BULL,OIM,DOJI,SWR,BEAR,581.0,563.5,567.3,581.0,563.5,574.0
2015-02-28,BEAR,BULL,OOH,DOJI,SWR,TR,598.95,564.35,576.5,598.95,564.35,597.95
2015-03-02,BEAR,BEAR,OOH,DOJI,SWR,BULL,600.65,573.1,597.05,600.65,573.1,584.15
2015-03-03,BEAR,TR,OIM,NORMAL,SWR,TR,581.5,572.0,581.5,581.5,572.0,573.0
2015-03-04,BULL,BEAR,OOH,HUGE OPEN,WAR,BEAR,592.1,571.05,581.0,592.1,571.05,574.6
2015-03-05,BEAR,TR,OOL,NORMAL,SWR,TR,576.9,567.9,576.9,576.9,567.9,570.6
2015-03-09,BEAR,TR,OIM,HUGE OPEN,WBR,BEAR,573.45,562.25,570.75,573.45,562.25,563.5
2015-03-10,TR,BEAR,OIM,DOJI,SWR,BEAR,572.7,559.1,567.65,572.7,559.1,561.0
2015-03-11,TR,BEAR,OOL,NORMAL,SWR,BEAR,565.2,548.2,562.0,565.2,548.2,551.1
2015-03-12,BULL,BULL,OIM,NORMAL,SWR,BEAR,566.95,554.95,554.95,566.95,554.95,564.95
2015-03-13,TR,BEAR,OOH,NORMAL,SWR,BULL,564.75,555.3,564.25,564.75,555.3,559.0
2015-03-16,TR,BEAR,OOH,NORMAL,WAR,TR,565.65,554.45,564.1,565.65,554.45,558.1
2015-03-17,TR,BULL,OOH,NORMAL,WAR,BEAR,578.25,562.65,564.0,578.25,562.65,569.65
2015-03-18,BEAR,BEAR,OIM,NORMAL,SWR,TR,570.5,556.55,570.0,570.5,556.55,560.65
2015-03-19,TR,BEAR,OIM,NORMAL,SWR,BEAR,568.8,551.25,564.45,568.8,551.25,552.45
2015-03-20,BEAR,TR,OBR,NORMAL,SBR,BEAR,550.4,541.4,547.25,550.4,541.4,549.0
2015-03-23,TR,TR,OOH,NORMAL,WAR,TR,557.5,548.5,548.75,557.5,548.5,552.0
2015-03-24,BEAR,BEAR,OIM,NORMAL,WBR,TR,552.1,528.4,551.5,552.1,528.4,531.8
2015-03-25,BULL,BEAR,OOL,NORMAL,SWR,BEAR,545.6,533.5,535.5,545.6,533.5,541.0
2015-03-26,BULL,BEAR,OBR,NORMAL,SWR,TR,538.75,521.25,530.0,538.75,521.25,526.9
2015-03-27,BULL,BULL,OOL,NORMAL,SWR,TR,536.8,518.55,526.4,536.8,518.55,535.0
2015-03-30,BEAR,BULL,OAR,NORMAL,SWR,BULL,541.0,531.4,536.85,541.0,531.4,540.2
2015-03-31,BULL,BULL,OOH,NORMAL,WAR,TR,559.8,537.6,540.15,559.8,537.6,550.6
2015-04-01,BEAR,BULL,OIM,NORMAL,SWR,TR,566.2,548.2,548.2,566.2,548.2,566.0
2015-04-06,TR,TR,OIM,NORMAL,WAR,BULL,573.5,560.15,560.3,573.5,560.15,566.5
2015-04-07,BEAR,BEAR,OOH,DOJI,SWR,TR,570.7,554.05,569.5,570.7,554.05,561.0
2015-04-08,BULL,BEAR,OIM,NORMAL,SWR,TR,569.45,559.2,564.9,569.45,559.2,563.0
2015-04-09,TR,TR,OOL,NORMAL,SWR,TR,564.85,552.25,562.15,564.85,552.25,560.0
2015-04-10,TR,BULL,OIM,NORMAL,SWR,TR,569.4,555.55,558.5,569.4,555.55,562.0
2015-04-13,BEAR,TR,OIM,NORMAL,SWR,TR,563.35,552.5,563.0,563.35,552.5,556.1
2015-04-15,BEAR,BEAR,OBR,NORMAL,SBR,BEAR,551.2,538.35,551.2,551.2,538.35,539.95
2015-04-16,BULL,BEAR,OIM,NORMAL,SWR,BEAR,551.25,534.4,543.45,551.25,534.4,538.4
2015-04-17,TR,BEAR,OIM,DOJI,SWR,TR,544.8,534.15,541.1,544.8,534.15,534.15
2015-04-20,BEAR,TR,OIM,NORMAL,SWR,BEAR,540.7,521.3,540.7,540.7,521.3,536.1
2015-04-21,BULL,BEAR,OIM,NORMAL,SWR,TR,538.0,523.5,531.0,538.0,523.5,527.9
2015-04-22,TR,BEAR,OIM,NORMAL,SWR,TR,529.4,510.7,529.1,529.4,510.7,525.25
2015-04-23,BULL,BEAR,OOH,NORMAL,SWR,TR,527.75,508.45,527.0,527.75,508.45,511.75
2015-04-24,BEAR,BULL,OIM,DOJI,SWR,BEAR,520.0,508.65,515.25,520.0,508.65,517.3
2015-04-27,TR,TR,OAR,DOJI,SWR,TR,522.95,513.8,521.2,522.95,513.8,517.5
2015-04-28,TR,BULL,OIM,DOJI,SWR,TR,533.75,518.35,520.15,533.75,518.35,526.0
2015-04-29,BEAR,BEAR,OIM,DOJI,SWR,TR,527.65,516.8,526.7,527.65,516.8,521.55
2015-04-30,BEAR,BEAR,OOL,NORMAL,WBR,TR,520.4,506.75,520.0,520.4,506.75,509.8
2015-05-04,TR,BEAR,OIM,NORMAL,SWR,BEAR,515.95,497.6,513.0,515.95,497.6,508.2
2015-05-05,TR,TR,OIM,NORMAL,SWR,TR,515.55,506.15,509.65,515.55,506.15,511.0
2015-05-06,BEAR,BEAR,OOL,NORMAL,WBR,TR,508.45,495.8,508.1,508.45,495.8,499.9
2015-05-07,TR,BEAR,OBR,NORMAL,SWR,BEAR,502.9,482.7,493.5,502.9,482.7,491.05
2015-05-08,BULL,BULL,OOH,DOJI,WAR,TR,515.9,497.45,498.95,515.9,497.45,513.0
2015-05-11,BEAR,BULL,OAR,NORMAL,SAR,BULL,530.95,517.0,522.2,530.95,517.0,528.55
2015-05-12,BEAR,BEAR,OIM,NORMAL,WBR,BULL,525.5,511.2,525.5,525.5,511.2,514.1
2015-05-13,BULL,BEAR,OIM,NORMAL,SWR,BEAR,525.5,506.55,518.0,525.5,506.55,519.2
2015-05-14,BEAR,TR,OIM,NORMAL,SWR,TR,518.8,510.35,517.0,518.8,510.35,516.45
2015-05-15,TR,TR,OAR,NORMAL,SWR,TR,524.4,517.05,519.75,524.4,517.05,520.4
2015-05-18,BULL,TR,OOL,HUGE OPEN,SWR,TR,524.35,510.4,519.0,524.35,510.4,520.0
2015-05-19,BEAR,BEAR,OIM,NORMAL,SWR,TR,518.75,508.75,516.9,518.75,508.75,509.5
2015-05-20,TR,BEAR,OOL,NORMAL,SWR,BEAR,513.45,503.8,510.5,513.45,503.8,506.0
2015-05-21,BULL,TR,OOL,NORMAL,SWR,BEAR,512.5,505.2,506.5,512.5,505.2,511.0
2015-05-22,BULL,TR,OOH,NORMAL,WAR,BULL,516.95,510.2,512.0,516.95,510.2,514.5
2015-05-25,BEAR,TR,OIM,HUGE OPEN,WBR,TR,514.0,503.3,514.0,514.0,503.3,505.0
