Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow
2015-02-02,TR,Bull Leg,,,,,,
2015-02-03,BULL,Bull Leg,OAR,HUGE OPEN,SAR,TR,,
2015-02-04,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-02-05,BEAR,Bull Leg,OOL,NORMAL,WBR,BEAR,,
2015-02-06,BEAR,TR,OBR,NORMAL,SBR,TR,,
2015-02-09,TR,Bear Leg,OBR,NORMAL,SWR,TR,,
2015-02-10,BULL,Bull Leg,OOL,HUGE OPEN,SWR,TR,,
2015-02-11,BEAR,TR,OOH,NORMAL,SWR,BULL,,
2015-02-12,TR,TR,OIM,NORMAL,SWR,TR,,
2015-02-13,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,
2015-02-16,BULL,Bear Leg,OAR,HUGE OPEN,SAR,TR,,
2015-02-18,BEAR,Bull Leg,OIM,NORMAL,WBR,TR,,
2015-02-19,TR,Bear Leg,OOH,DOJI,WAR,TR,,
2015-02-20,TR,TR,OIM,NORMAL,SWR,TR,,
2015-02-23,TR,Bear Leg,OOH,DOJI,SWR,TR,,
2015-02-24,BEAR,Bear Leg,OIM,HUGE OPEN,WBR,BEAR,,
2015-02-25,BULL,TR,OIM,NORMAL,SWR,BEAR,,
2015-02-26,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-02-27,TR,Bull Leg,OIM,DOJI,SWR,BEAR,,
2015-02-28,BEAR,Bull Leg,OOH,DOJI,SWR,TR,,
2015-03-02,BEAR,Bear Leg,OOH,DOJI,SWR,BULL,,
2015-03-03,BEAR,TR,OIM,NORMAL,SWR,TR,,
2015-03-04,BULL,Bear Leg,OOH,HUGE OPEN,WAR,BEAR,,
2015-03-05,BEAR,TR,OOL,NORMAL,SWR,TR,,
2015-03-09,BEAR,TR,OIM,HUGE OPEN,WBR,BEAR,,
2015-03-10,TR,Bear Leg,OIM,DOJI,SWR,BEAR,,
2015-03-11,TR,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2015-03-12,BULL,Bull Leg,OIM,NORMAL,SWR,BEAR,,
2015-03-13,TR,Bear Leg,OOH,NORMAL,SWR,BULL,,
2015-03-16,TR,Bear Leg,OOH,NORMAL,WAR,TR,,
2015-03-17,TR,Bull Leg,OOH,NORMAL,WAR,BEAR,,
2015-03-18,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-03-19,TR,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2015-03-20,BEAR,TR,OBR,NORMAL,SBR,BEAR,,
2015-03-23,TR,TR,OOH,NORMAL,WAR,TR,,
2015-03-24,BEAR,Bear Leg,OIM,NORMAL,WBR,TR,,
2015-03-25,BULL,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2015-03-26,BULL,Bear Leg,OBR,NORMAL,SWR,TR,,
2015-03-27,BULL,Bull Leg,OOL,NORMAL,SWR,TR,,
2015-03-30,BEAR,Bull Leg,OAR,NORMAL,SWR,BULL,,
2015-03-31,BULL,Bull Leg,OOH,NORMAL,WAR,TR,,
2015-04-01,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,
2015-04-06,TR,TR,OIM,NORMAL,WAR,BULL,,
2015-04-07,BEAR,Bear Leg,OOH,DOJI,SWR,TR,,
2015-04-08,BULL,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-04-09,TR,TR,OOL,NORMAL,SWR,TR,,
2015-04-10,TR,Bull Leg,OIM,NORMAL,SWR,TR,,
2015-04-13,BEAR,TR,OIM,NORMAL,SWR,TR,,
2015-04-15,BEAR,Bear Leg,OBR,NORMAL,SBR,BEAR,,
2015-04-16,BULL,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2015-04-17,TR,Bear Leg,OIM,DOJI,SWR,TR,,
2015-04-20,BEAR,TR,OIM,NORMAL,SWR,BEAR,,
2015-04-21,BULL,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-04-22,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-04-23,BULL,Bear Leg,OOH,NORMAL,SWR,TR,,
2015-04-24,BEAR,Bull Leg,OIM,DOJI,SWR,BEAR,,
2015-04-27,TR,TR,OAR,DOJI,SWR,TR,,
2015-04-28,TR,Bull Leg,OIM,DOJI,SWR,TR,,
2015-04-29,BEAR,Bear Leg,OIM,DOJI,SWR,TR,,
2015-04-30,BEAR,Bear Leg,OOL,NORMAL,WBR,TR,,
2015-05-04,TR,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2015-05-05,TR,TR,OIM,NORMAL,SWR,TR,,
2015-05-06,BEAR,Bear Leg,OOL,NORMAL,WBR,TR,,
2015-05-07,TR,Bear Leg,OBR,NORMAL,SWR,BEAR,,
2015-05-08,BULL,Bull Leg,OOH,DOJI,WAR,TR,,
2015-05-11,BEAR,Bull Leg,OAR,NORMAL,SAR,BULL,,
2015-05-12,BEAR,Bear Leg,OIM,NORMAL,WBR,BULL,,
2015-05-13,BULL,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2015-05-14,BEAR,TR,OIM,NORMAL,SWR,TR,,
2015-05-15,TR,TR,OAR,NORMAL,SWR,TR,,
2015-05-18,BULL,TR,OOL,HUGE OPEN,SWR,TR,,
2015-05-19,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-05-20,TR,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2015-05-21,BULL,TR,OOL,NORMAL,SWR,BEAR,,
2015-05-22,BULL,TR,OOH,NORMAL,WAR,BULL,,
2015-05-25,BEAR,TR,OIM,HUGE OPEN,WBR,TR,,
2015-05-26,BEAR,TR,OOL,NORMAL,WBR,BEAR,,
2015-05-27,TR,TR,OBR,NORMAL,SBR,TR,,
2015-05-28,TR,Bull Leg,OOH,NORMAL,WAR,TR,,
2015-05-29,BEAR,TR,OOH,NORMAL,SWR,BULL,,
2015-06-01,BEAR,Bear Leg,OOL,NORMAL,WBR,TR,,
2015-06-02,BULL,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2015-06-03,BEAR,TR,OOL,HUGE OPEN,WBR,BEAR,,
2015-06-04,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,
2015-06-05,TR,Bear Leg,OOL,NORMAL,WBR,TR,,
2015-06-08,BEAR,Bull Leg,OBR,NORMAL,SBR,BEAR,,
2015-06-09,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,
2015-06-10,BULL,Bull Leg,OIM,NORMAL,SWR,BULL,,
2015-06-11,BEAR,Bear Leg,OOH,NORMAL,SWR,BULL,,
2015-06-12,BEAR,Bear Leg,OBR,NORMAL,SBR,BEAR,,
2015-06-15,BEAR,Bull Leg,OOH,NORMAL,SWR,TR,,
2015-06-16,TR,Bull Leg,OOH,HUGE OPEN,WAR,TR,,
2015-06-17,BEAR,Bull Leg,OAR,NORMAL,SWR,TR,,
2015-06-18,BULL,Bull Leg,OOH,NORMAL,WAR,TR,,
2015-06-19,BEAR,Bear Leg,OOH,NORMAL,SWR,BULL,,
2015-06-22,BULL,Bull Leg,OIM,DOJI,SWR,BEAR,,
2015-06-23,TR,Bear Leg,OOH,NORMAL,WAR,TR,,
2015-06-24,BEAR,Bear Leg,OOL,NORMAL,SWR,TR,,
2015-06-25,TR,TR,OIM,NORMAL,SWR,BEAR,,
2015-06-26,TR,Bull Leg,OOH,NORMAL,SWR,TR,,
2015-06-29,BEAR,Bull Leg,OBR,HUGE OPEN,SBR,TR,,
2015-06-30,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,
2015-07-01,BULL,Bull Leg,OOH,DOJI,WAR,TR,,
2015-07-02,TR,Bear Leg,OOH,NORMAL,SWR,BULL,,
2015-07-03,TR,TR,OOL,NORMAL,WBR,BEAR,,
2015-07-06,TR,Bull Leg,OBR,HUGE OPEN,SBR,TR,,
2015-07-07,BEAR,TR,OOH,NORMAL,WAR,TR,,
2015-07-08,BEAR,Bear Leg,OBR,HUGE OPEN,SBR,TR,,
2015-07-09,BEAR,TR,OBR,NORMAL,SWR,BEAR,,
2015-07-10,TR,TR,OOH,DOJI,SWR,TR,,
2015-07-13,BEAR,TR,OOH,NORMAL,SWR,TR,,
2015-07-14,BEAR,Bear Leg,OOH,HUGE OPEN,WBR,TR,,
2015-07-15,BULL,Bull Leg,OOL,NORMAL,SWR,BEAR,,
2015-07-16,TR,TR,OOH,NORMAL,WAR,BULL,,
2015-07-17,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,
2015-07-20,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-07-21,BEAR,TR,OOL,NORMAL,WBR,BEAR,,
2015-07-22,TR,TR,OOL,NORMAL,SWR,TR,,
