Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%
2015-02-02,TR,Unknown,BULL,Bull,WideRange,TR,0.329
2015-02-03,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-0.839
2015-02-04,BEAR,WithinPrevRange,BULL,Bear,WideRange,BULL,1.321
2015-02-05,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.645
2015-02-06,BEAR,WithinPrevRange,BULL,Bull,WideRange,TR,-0.293
2015-02-09,TR,GapDown<PrevLow,BULL,Bull,WideRange,BEAR,-2.233
2015-02-10,TR,GapDown<PrevLow,BULL,Bull,WideRange,BULL,0.993
2015-02-11,BULL,GapUp>PrevHigh,BEAR,Bull,WideRange,BULL,2.644
2015-02-12,BULL,WithinPrevRange,BULL,Bull,WideRange,BULL,1.816
2015-02-13,BULL,GapUp>PrevHigh,BEAR,Bear,WideRange,TR,-0.451
2015-02-16,BEAR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-1.761
2015-02-18,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.688
2015-02-19,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.518
2015-02-20,BULL,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.339
2015-02-23,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-0.713
2015-02-24,BEAR,WithinPrevRange,BULL,Bull,WideRange,BULL,3.899
2015-02-25,BULL,GapUp>PrevHigh,BEAR,Bear,WideRange,BEAR,-2.413
2015-02-26,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-0.861
2015-02-27,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,2.355
2015-02-28,BULL,GapUp>PrevHigh,TR,Bear,WideRange,BEAR,-2.521
2015-03-02,BEAR,WithinPrevRange,TR,Bear,WideRange,BULL,1.147
2015-03-03,BULL,WithinPrevRange,BULL,Bull,WideRange,BULL,0.626
2015-03-04,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-2.782
2015-03-05,BEAR,WithinPrevRange,BEAR,Bear,WideRange,TR,0.38
2015-03-09,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.488
2015-03-10,BEAR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-3.763
2015-03-11,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.696
2015-03-12,TR,WithinPrevRange,TR,Bull,Normal,TR,0.26
2015-03-13,TR,GapUp>PrevHigh,TR,Bear,WideRange,BEAR,-3.926
2015-03-16,BEAR,GapDown<PrevLow,BULL,Unknown,WideRange,BULL,2.013
2015-03-17,BULL,GapUp>PrevHigh,BEAR,Bear,WideRange,BULL,0.814
2015-03-18,TR,WithinPrevRange,TR,Bear,Normal,TR,-0.349
2015-03-19,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-4.897
2015-03-20,BEAR,WithinPrevRange,TR,Bear,WideRange,BEAR,-1.305
2015-03-23,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-3.112
2015-03-24,BEAR,GapDown<PrevLow,BULL,Bear,WideRange,TR,-0.126
2015-03-25,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,1.308
2015-03-26,BULL,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.976
2015-03-27,TR,GapDown<PrevLow,BEAR,Bear,WideRange,BULL,0.832
2015-03-30,TR,GapUp>PrevHigh,BULL,Bull,WideRange,BULL,1.895
2015-03-31,BULL,GapUp>PrevHigh,BULL,Bear,WideRange,BEAR,-1.943
2015-04-01,BEAR,GapDown<PrevLow,BULL,Bull,WideRange,TR,0.271
2015-04-06,BULL,WithinPrevRange,BULL,Bull,WideRange,BULL,1.547
2015-04-07,BULL,WithinPrevRange,BEAR,Bull,WideRange,BULL,1.449
2015-04-08,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,1.048
2015-04-09,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.373
2015-04-10,BEAR,GapDown<PrevLow,TR,Bear,WideRange,BULL,1.11
2015-04-13,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,2.887
2015-04-15,BULL,WithinPrevRange,BULL,Bull,WideRange,BEAR,-3.093
2015-04-16,BEAR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.995
2015-04-17,TR,WithinPrevRange,BULL,Bull,WideRange,TR,0.086
2015-04-20,BULL,WithinPrevRange,TR,Bear,WideRange,BEAR,-1.015
2015-04-21,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.146
2015-04-22,TR,WithinPrevRange,BULL,Bull,WideRange,TR,-0.498
2015-04-23,BULL,GapUp>PrevHigh,BULL,Bear,WideRange,BULL,1.397
2015-04-24,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-0.774
2015-04-27,BEAR,WithinPrevRange,BEAR,Bear,WideRange,TR,0.122
2015-04-28,BEAR,WithinPrevRange,TR,Bull,WideRange,BULL,0.935
2015-04-29,BULL,WithinPrevRange,BULL,Bull,WideRange,TR,0.523
2015-04-30,BULL,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.462
2015-05-04,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,4.752
2015-05-05,BULL,WithinPrevRange,TR,Bear,WideRange,BULL,1.467
2015-05-06,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-3.065
2015-05-07,BEAR,GapDown<PrevLow,TR,Bear,WideRange,BEAR,-2.085
2015-05-08,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.307
2015-05-11,BULL,GapUp>PrevHigh,BULL,Bull,WideRange,BULL,0.999
2015-05-12,BULL,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.925
2015-05-13,BEAR,WithinPrevRange,BULL,Bull,WideRange,BULL,3.788
