Date,OpeningTrend,OpenLocation,PrevDayContext,FirstCandleType,RangeStatus,Result,ResultRet%
2024-09-16,TR,,,,,BULL,10.0
2024-09-17,BULL,OAR,BULL,NORMAL,SAR,BULL,1.783
2024-09-18,BULL,OOH,BULL,HUGE OPEN,WAR,BEAR,-4.723
2024-09-19,BEAR,OOL,TR,DOJI,WBR,BEAR,-4.833
2024-09-20,TR,OOL,BEAR,NORMAL,SWR,TR,0.031
2024-09-23,BEAR,OIM,TR,HUGE OPEN,SWR,BEAR,-1.879
2024-09-24,BEAR,OOL,BEAR,DOJI,WBR,TR,-0.063
2024-09-25,BEAR,OBR,BEAR,DOJI,SWR,BEAR,-1.732
2024-09-26,BEAR,OOL,BEAR,NORMAL,WBR,BULL,5.033
2024-09-27,BEAR,OIM,TR,DOJI,SWR,BEAR,-0.87
2024-09-30,BEAR,OOL,TR,HUGE OPEN,WBR,TR,0.071
2024-10-01,TR,OIM,BEAR,DOJI,SWR,BEAR,-1.475
2024-10-03,BULL,OBR,BEAR,NORMAL,SBR,TR,-0.245
2024-10-04,BEAR,OAR,BULL,HUGE OPEN,SWR,TR,0.28
2024-10-07,BEAR,OIM,TR,HUGE OPEN,WBR,BEAR,-6.069
2024-10-08,BULL,OBR,BEAR,NORMAL,SWR,BULL,6.453
2024-10-09,BULL,OAR,BULL,DOJI,SAR,BEAR,-1.057
2024-10-10,BEAR,OIM,TR,HUGE OPEN,SWR,BEAR,-1.14
2024-10-11,TR,OOL,BEAR,DOJI,SWR,BEAR,-0.68
2024-10-14,BEAR,OIM,TR,HUGE OPEN,WBR,BEAR,-2.474
2024-10-15,BEAR,OIM,BEAR,DOJI,SWR,BEAR,-1.27
2024-10-16,BULL,OOL,BEAR,NORMAL,SWR,BEAR,-1.117
2024-10-17,BEAR,OIM,TR,NORMAL,WBR,TR,-0.014
2024-10-18,BULL,OOL,BEAR,HUGE OPEN,WBR,BEAR,-0.883
