Date,OpeningTrend,OpenLocation,PrevDayContext,FirstCandleType,RangeStatus,Result,ResultRet%
2023-08-21,BEAR,,,,,BEAR,-5.0
2023-08-22,TR,OBR,BEAR,,SBR,TR,0.0
2023-08-23,TR,,TR,,,TR,0.0
2023-08-24,TR,,TR,,,TR,0.0
2023-08-25,TR,,TR,,,BULL,5.054
2023-08-28,BULL,OIM,BULL,NORMAL,SWR,BEAR,-1.522
2023-08-29,BULL,OIM,TR,NORMAL,SWR,BULL,0.721
2023-08-30,BULL,OAR,BULL,NORMAL,SAR,TR,0.0
2023-08-31,BULL,OAR,BULL,HUGE OPEN,SAR,BEAR,-4.469
2023-09-01,BULL,OIM,TR,HUGE OPEN,WAR,BULL,1.764
2023-09-04,BEAR,OAR,BULL,DOJI,SAR,TR,0.278
2023-09-05,BULL,OIM,TR,NORMAL,SWR,BEAR,-1.811
2023-09-06,TR,OBR,TR,HUGE OPEN,SBR,BULL,3.183
2023-09-07,BULL,OIM,TR,NORMAL,SWR,BEAR,-1.854
2023-09-08,TR,OIM,TR,NORMAL,SWR,TR,0.079
2023-09-11,BEAR,OAR,TR,NORMAL,SWR,BEAR,-1.125
2023-09-12,BEAR,OOL,BEAR,DOJI,WBR,BEAR,-1.509
2023-09-13,BEAR,OIM,BEAR,NORMAL,SWR,BEAR,-1.678
2023-09-14,BULL,OIM,TR,DOJI,SWR,TR,-0.554
2023-09-15,TR,OOH,TR,NORMAL,SWR,BEAR,-0.825
2023-09-18,BEAR,OIM,BEAR,DOJI,SWR,BEAR,-2.244
2023-09-20,TR,OBR,BEAR,DOJI,SBR,TR,-0.109
2023-09-21,BULL,OIM,TR,DOJI,WAR,BEAR,-2.65
2023-09-22,BULL,OOL,TR,NORMAL,SWR,BEAR,-1.043
2023-09-25,TR,OIM,TR,DOJI,SWR,TR,0.0
2023-09-26,BEAR,OAR,TR,DOJI,SWR,TR,0.13
2023-09-27,BEAR,OOH,TR,HUGE OPEN,WBR,BEAR,-0.742
2023-09-28,BEAR,OOL,BEAR,DOJI,SWR,BEAR,-0.902
2023-09-29,BULL,OOL,BEAR,DOJI,SWR,BULL,2.547
2023-10-03,TR,OOH,BULL,DOJI,WAR,TR,-0.086
2023-10-04,TR,OBR,TR,NORMAL,SBR,BEAR,-1.683
2023-10-05,BEAR,OIM,BEAR,NORMAL,SWR,TR,0.511
2023-10-06,TR,OIM,TR,NORMAL,SWR,TR,-0.596
2023-10-09,TR,OBR,TR,HUGE OPEN,SBR,TR,-0.588
2023-10-10,BULL,OIM,BEAR,NORMAL,WAR,BEAR,-1.721
2023-10-11,TR,OIM,TR,DOJI,SWR,TR,-0.516
2023-10-12,BEAR,OOH,BULL,DOJI,SWR,TR,-0.066
2023-10-13,TR,OBR,BEAR,NORMAL,SBR,BULL,0.604
2023-10-16,TR,OOH,TR,DOJI,SWR,TR,0.178
2023-10-17,BEAR,OAR,TR,HUGE OPEN,SAR,BEAR,-2.686
2023-10-18,TR,OOL,BEAR,DOJI,WBR,BEAR,-1.796
2023-10-19,BEAR,OOL,BEAR,NORMAL,WBR,BULL,1.156
2023-10-20,BULL,OOH,TR,NORMAL,WAR,BEAR,-0.602
2023-10-23,BEAR,OOL,TR,NORMAL,WBR,BEAR,-2.211
2023-10-25,BULL,OOL,BEAR,NORMAL,SWR,TR,-0.261
2023-10-26,BEAR,OOL,BULL,DOJI,SWR,BULL,3.361
2023-10-27,BEAR,OAR,BULL,DOJI,SAR,TR,0.252
2023-10-30,BEAR,OOH,BULL,DOJI,SWR,BEAR,-1.968
2023-10-31,BEAR,OIM,BEAR,NORMAL,SWR,TR,-0.387
2023-11-01,BULL,OOL,BEAR,DOJI,SWR,BEAR,-1.415
2023-11-02,TR,OIM,TR,NORMAL,SWR,TR,-0.161
2023-11-03,TR,OOH,BEAR,NORMAL,WAR,TR,0.046
2023-11-06,BEAR,OOH,TR,HUGE OPEN,SWR,TR,-0.298
2023-11-07,TR,OOL,BEAR,NORMAL,SWR,TR,-0.253
2023-11-08,BEAR,OIM,TR,NORMAL,SWR,BEAR,-1.337
2023-11-09,TR,OOL,BEAR,NORMAL,SWR,TR,0.116
2023-11-10,TR,OOL,TR,NORMAL,SWR,BULL,2.786
2023-11-12,TR,OAR,BULL,DOJI,SAR,TR,0.0
2023-11-13,TR,OBR,TR,DOJI,SBR,TR,0.404
2023-11-15,BEAR,OAR,TR,NORMAL,SWR,TR,-0.311
2023-11-16,BEAR,OIM,BEAR,DOJI,SWR,TR,0.536
2023-11-17,BEAR,OIM,TR,NORMAL,WBR,BEAR,-0.831
2023-11-20,BEAR,OOL,BEAR,HUGE OPEN,WBR,BEAR,-0.758
2023-11-21,BULL,OIM,BEAR,NORMAL,SWR,TR,0.433
2023-11-22,BULL,OIM,TR,NORMAL,SWR,TR,0.593
2023-11-23,BEAR,OOH,BULL,NORMAL,SWR,TR,0.068
2023-11-24,TR,OIM,TR,NORMAL,SWR,BULL,1.787
2023-11-28,BULL,OAR,BULL,DOJI,SAR,BEAR,-1.786
2023-11-29,TR,OIM,TR,NORMAL,SWR,BEAR,-0.703
2023-11-30,BEAR,OIM,BEAR,DOJI,SWR,BULL,1.691
2023-12-01,BEAR,OOH,BULL,NORMAL,SWR,BEAR,-2.065
2023-12-04,BEAR,OOH,BEAR,NORMAL,SWR,TR,0.393
2023-12-05,TR,OOH,TR,NORMAL,SWR,BULL,4.803
2023-12-06,BULL,OOH,BULL,NORMAL,WAR,TR,-0.182
2023-12-07,TR,OIM,TR,NORMAL,SWR,TR,-0.02
2023-12-08,BEAR,OIM,TR,NORMAL,SWR,BEAR,-0.932
2023-12-11,TR,OIM,TR,NORMAL,SWR,TR,-0.081
2023-12-12,BEAR,OOH,TR,DOJI,WAR,BEAR,-2.155
2023-12-13,BEAR,OIM,BEAR,DOJI,SWR,TR,-0.56
2023-12-14,BULL,OAR,TR,NORMAL,SWR,BEAR,-1.85
2023-12-15,TR,OIM,BEAR,DOJI,SWR,BEAR,-0.752
2023-12-18,TR,OOH,TR,NORMAL,SWR,TR,-0.063
