Date,OpeningTrend,OpenLocation,PrevDayContext,FirstCandleType,RangeStatus,Result,ResultRet%
2022-05-17,TR,,,,,TR,0.522
2022-05-18,TR,OIM,TR,DOJI,SWR,BEAR,-0.734
2022-05-19,BEAR,OBR,BEAR,NORMAL,SBR,BEAR,-2.371
2022-05-20,TR,OIM,BEAR,NORMAL,SWR,BEAR,-3.032
2022-05-23,BEAR,OOL,BEAR,NORMAL,WBR,BULL,1.012
2022-05-24,TR,OOL,TR,NORMAL,SWR,TR,-0.43
2022-05-25,BULL,OOH,TR,DOJI,WAR,BEAR,-1.865
2022-05-26,BEAR,OOL,BEAR,DOJI,SWR,TR,-0.558
2022-05-27,TR,OOH,TR,NORMAL,SWR,TR,0.483
2022-05-30,BEAR,OAR,BULL,DOJI,SAR,BULL,0.996
2022-05-31,BULL,OBR,TR,NORMAL,SBR,TR,-0.545
2022-06-01,BEAR,OOL,TR,NORMAL,SWR,TR,-0.314
2022-06-02,BEAR,OOL,TR,NORMAL,SWR,TR,-0.439
2022-06-03,BEAR,OIM,BEAR,NORMAL,SWR,BEAR,-0.898
2022-06-06,BEAR,OOL,BEAR,HUGE OPEN,WBR,BEAR,-1.276
2022-06-07,BEAR,OBR,BEAR,NORMAL,SBR,BEAR,-0.946
2022-06-08,BEAR,OOL,BEAR,NORMAL,WBR,TR,0.061
2022-06-09,BULL,OBR,BEAR,NORMAL,SBR,BEAR,-1.062
2022-06-10,TR,OBR,BEAR,NORMAL,SBR,BEAR,-0.623
2022-06-13,TR,OBR,TR,HUGE OPEN,SBR,BEAR,-2.995
2022-06-14,TR,OBR,BEAR,HUGE OPEN,SWR,TR,-0.451
2022-06-15,BULL,OOH,TR,NORMAL,WAR,TR,0.153
2022-06-16,BEAR,OOH,TR,NORMAL,SWR,BEAR,-3.365
2022-06-17,TR,OOL,BEAR,NORMAL,WBR,TR,-0.532
2022-06-20,BEAR,OIM,BEAR,DOJI,WBR,BULL,1.137
2022-06-21,TR,OAR,TR,DOJI,SWR,TR,-0.217
2022-06-22,BULL,OIM,TR,DOJI,WAR,BEAR,-1.82
2022-06-23,BULL,OOL,TR,DOJI,SWR,BEAR,-1.264
2022-06-24,BEAR,OIM,TR,NORMAL,SWR,BEAR,-0.638
2022-06-27,BEAR,OOH,BEAR,NORMAL,SWR,TR,-0.045
2022-06-28,TR,OOL,BEAR,DOJI,WBR,TR,0.204
2022-06-29,TR,OOL,TR,NORMAL,WBR,BULL,2.957
2022-06-30,TR,OIM,TR,NORMAL,SWR,BEAR,-0.766
2022-07-01,TR,OIM,TR,NORMAL,SWR,TR,0.394
2022-07-04,TR,OOH,TR,NORMAL,WAR,BULL,1.687
2022-07-05,BULL,OAR,BULL,NORMAL,SAR,TR,0.242
2022-07-06,BEAR,OIM,TR,DOJI,SWR,BEAR,-0.784
2022-07-07,TR,OIM,TR,NORMAL,SWR,BEAR,-0.984
2022-07-08,BULL,OOL,BEAR,NORMAL,SWR,TR,0.311
2022-07-11,TR,OOH,BULL,NORMAL,SWR,BULL,1.662
2022-07-12,TR,OOH,BULL,NORMAL,WAR,TR,-0.451
2022-07-13,TR,OIM,TR,NORMAL,SWR,TR,-0.16
2022-07-14,TR,OIM,TR,NORMAL,SWR,BEAR,-1.083
2022-07-15,BEAR,OOH,TR,HUGE OPEN,SWR,TR,-0.288
2022-07-18,TR,OIM,BEAR,NORMAL,SWR,BEAR,-1.592
2022-07-19,BEAR,OOL,BEAR,NORMAL,WBR,TR,-0.548
2022-07-20,TR,OIM,BEAR,NORMAL,SWR,BEAR,-0.964
2022-07-21,BULL,OOL,BEAR,NORMAL,SWR,TR,-0.384
2022-07-22,TR,OIM,TR,NORMAL,SWR,TR,-0.145
2022-07-25,TR,OOL,TR,NORMAL,WBR,TR,-0.407
2022-07-26,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-0.661
2022-07-27,TR,OOL,BEAR,NORMAL,WBR,TR,0.416
2022-07-28,TR,OIM,TR,DOJI,SWR,TR,-0.163
2022-07-29,BULL,OIM,TR,HUGE OPEN,WAR,TR,-0.535
2022-08-01,TR,OIM,TR,DOJI,SWR,TR,0.235
2022-08-02,TR,OIM,TR,NORMAL,SWR,TR,0.564
2022-08-03,BEAR,OIM,TR,DOJI,SWR,BEAR,-0.695
2022-08-04,TR,OIM,BEAR,NORMAL,SWR,BEAR,-1.086
2022-08-05,BULL,OIM,BEAR,NORMAL,SWR,BULL,1.047
2022-08-08,BULL,OIM,TR,NORMAL,SWR,TR,0.015
2022-08-10,TR,OIM,TR,DOJI,SWR,TR,-0.007
2022-08-11,TR,OIM,TR,NORMAL,SWR,TR,-0.546
2022-08-12,BULL,OOL,TR,NORMAL,SWR,TR,-0.401
2022-08-16,BULL,OAR,TR,DOJI,SAR,BEAR,-0.851
2022-08-17,TR,OIM,TR,DOJI,SWR,TR,-0.505
2022-08-18,TR,OOL,TR,NORMAL,SWR,TR,-0.136
2022-08-19,BEAR,OIM,TR,DOJI,WBR,BEAR,-0.908
2022-08-22,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-0.757
2022-08-23,TR,OBR,BEAR,NORMAL,SWR,BEAR,-0.739
2022-08-24,TR,OIM,TR,DOJI,SWR,TR,0.385
2022-08-25,TR,OIM,TR,DOJI,SWR,TR,-0.044
2022-08-26,TR,OIM,TR,DOJI,SWR,TR,-0.22
2022-08-29,BULL,OBR,TR,HUGE OPEN,SBR,TR,-0.483
2022-08-30,TR,OOH,TR,DOJI,WAR,TR,-0.163
2022-09-01,TR,OOL,TR,HUGE OPEN,SWR,BEAR,-1.058
2022-09-02,TR,OIM,TR,DOJI,SWR,BEAR,-0.664
2022-09-05,TR,OOL,BEAR,NORMAL,SWR,BEAR,-1.065
2022-09-06,BEAR,OOL,BEAR,NORMAL,SWR,BEAR,-1.375
2022-09-07,TR,OOL,BEAR,DOJI,SWR,TR,-0.023
2022-09-08,BEAR,OAR,TR,NORMAL,SAR,TR,-0.449
2022-09-09,TR,OOH,TR,DOJI,SWR,BEAR,-0.639
2022-09-12,TR,OIM,TR,NORMAL,SWR,TR,-0.222
2022-09-13,TR,OIM,TR,DOJI,SWR,BULL,2.516
2022-09-14,BULL,OIM,BULL,DOJI,SWR,TR,-0.465
2022-09-15,BEAR,OOL,TR,NORMAL,SWR,BULL,1.25
2022-09-16,BEAR,OIM,BULL,DOJI,SWR,BEAR,-2.011
2022-09-19,TR,OOL,BEAR,DOJI,SWR,TR,-0.335
2022-09-20,TR,OIM,TR,NORMAL,SWR,BEAR,-0.689
2022-09-21,TR,OOL,TR,DOJI,SWR,TR,-0.594
2022-09-22,BULL,OOL,BEAR,NORMAL,SWR,BEAR,-0.884
2022-09-23,BEAR,OIM,TR,DOJI,WBR,BEAR,-0.633
2022-09-26,BEAR,OBR,BEAR,NORMAL,SBR,TR,-0.355
2022-09-27,TR,OOL,BEAR,NORMAL,SWR,BEAR,-0.897
2022-09-28,BEAR,OBR,TR,NORMAL,SBR,TR,-0.432
2022-09-29,TR,OIM,BEAR,NORMAL,SWR,BEAR,-0.617
2022-09-30,TR,OOL,BEAR,DOJI,SWR,TR,0.404
2022-10-03,TR,OIM,TR,NORMAL,SWR,TR,-0.289
2022-10-04,TR,OOH,TR,NORMAL,WAR,TR,0.511
2022-10-06,BULL,OOH,BULL,NORMAL,WAR,TR,-0.53
2022-10-07,BEAR,OOL,TR,DOJI,WBR,TR,-0.414
2022-10-10,BEAR,OBR,TR,NORMAL,SBR,TR,-0.29
2022-10-11,BULL,OIM,TR,DOJI,WAR,BEAR,-0.625
2022-10-12,TR,OIM,TR,DOJI,SWR,BEAR,-0.821
2022-10-13,TR,OOL,TR,NORMAL,SWR,BEAR,-0.642
2022-10-14,BEAR,OOH,BEAR,DOJI,SWR,BEAR,-0.607
2022-10-17,BEAR,OOL,BEAR,NORMAL,WBR,TR,-0.074
2022-10-18,TR,OIM,TR,DOJI,SWR,TR,-0.483
2022-10-19,TR,OOL,TR,DOJI,SWR,TR,-0.459
2022-10-20,BEAR,OIM,TR,HUGE OPEN,WBR,TR,-0.141
2022-10-21,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-1.139
2022-10-24,TR,OIM,BEAR,DOJI,SWR,TR,0.0
2022-10-25,BEAR,OOH,BULL,HUGE OPEN,SWR,TR,-0.084
2022-10-27,BEAR,OIM,BEAR,NORMAL,SWR,TR,-0.042
2022-10-28,TR,OIM,TR,DOJI,SWR,TR,-0.445
2022-10-31,TR,OAR,TR,HUGE OPEN,SAR,TR,-0.313
2022-11-01,BEAR,OIM,TR,NORMAL,SWR,TR,0.215
2022-11-02,TR,OIM,TR,HUGE OPEN,SWR,BULL,2.112
2022-11-03,BULL,OOH,BULL,DOJI,WAR,TR,0.506
2022-11-04,BEAR,OOH,BULL,NORMAL,WAR,TR,0.048
2022-11-07,TR,OOH,TR,HUGE OPEN,WAR,TR,0.253
2022-11-09,TR,OIM,TR,NORMAL,SWR,BEAR,-0.809
2022-11-10,BEAR,OIM,BEAR,NORMAL,SWR,BEAR,-1.513
2022-11-11,TR,OIM,BEAR,NORMAL,SWR,TR,0.279
2022-11-14,BEAR,OAR,TR,HUGE OPEN,SAR,TR,0.075
2022-11-15,BEAR,OOL,TR,NORMAL,SWR,BEAR,-1.019
2022-11-16,TR,OOL,BEAR,DOJI,SWR,BEAR,-1.303
2022-11-17,BULL,OBR,BEAR,DOJI,SWR,BEAR,-0.61
2022-11-18,TR,OIM,TR,NORMAL,SWR,BEAR,-0.791
