Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%,DayHigh,DayLow,Open,High,Low,Close
2015-02-02,,,BULL,,,BULL,1.503,,,1132.63,1159.9,1130.87,1156.9
2015-02-03,BULL,OAR,BEAR,DOJI,SWR,BEAR,-0.877,,,1163.33,1166.6,1138.23,1144.33
2015-02-04,BEAR,OIM,BEAR,NORMAL,SWR,BEAR,-1.341,,,1154.67,1154.67,1121.77,1122.73
2015-02-05,BEAR,OOL,TR,NORMAL,SWR,TR,-0.375,,,1126.63,1137.33,1116.1,1119.0
2015-02-06,TR,OOL,BULL,DOJI,SWR,TR,-0.06,,,1121.33,1129.33,1108.8,1116.67
2015-02-09,TR,OBR,TR,NORMAL,SWR,BEAR,-4.858,,,1106.67,1112.67,1033.33,1037.23
2015-02-10,BEAR,OBR,BULL,NORMAL,SWR,BULL,0.97,,,1029.13,1073.93,1022.0,1050.67
2015-02-11,TR,OIM,BULL,NORMAL,SWR,BULL,1.107,,,1056.6,1082.33,1056.6,1070.8
2015-02-12,TR,OOH,BEAR,DOJI,WAR,BULL,1.854,,,1080.0,1106.0,1070.67,1103.33
2015-02-13,BULL,OAR,BULL,NORMAL,SWR,TR,-0.093,,,1107.77,1115.97,1101.57,1109.33
2015-02-16,TR,OIM,BEAR,NORMAL,WAR,BEAR,-0.93,,,1110.7,1118.53,1093.4,1102.9
2015-02-18,TR,OIM,BULL,NORMAL,SWR,TR,-0.246,,,1102.93,1116.6,1102.67,1108.67
2015-02-19,TR,OIM,TR,NORMAL,SWR,BULL,1.929,,,1110.87,1140.0,1108.27,1139.67
2015-02-20,BULL,OOH,TR,DOJI,SWR,TR,-0.486,,,1134.5,1143.2,1114.43,1118.67
2015-02-23,BEAR,OIM,BULL,NORMAL,SWR,TR,0.012,,,1124.3,1141.27,1119.57,1120.67
2015-02-24,TR,OIM,BULL,NORMAL,SWR,BULL,0.901,,,1127.63,1149.67,1127.33,1148.2
2015-02-25,BULL,OAR,TR,NORMAL,SAR,BEAR,-1.794,,,1151.33,1156.53,1124.2,1129.03
2015-02-26,BEAR,OOL,BEAR,NORMAL,WBR,TR,-0.351,,,1132.03,1133.83,1113.33,1126.67
2015-02-27,TR,OAR,BULL,NORMAL,SAR,BULL,2.042,,,1137.33,1176.67,1135.67,1175.87
2015-02-28,BULL,OAR,BULL,DOJI,SAR,BEAR,-1.705,,,1189.3,1199.83,1145.33,1174.67
2015-03-02,TR,OOH,BULL,NORMAL,WAR,BULL,1.48,,,1192.57,1233.33,1192.57,1233.33
2015-03-03,BULL,OOH,BEAR,DOJI,SWR,BULL,0.762,,,1231.73,1239.33,1218.73,1235.5
2015-03-04,TR,OAR,BEAR,HUGE OPEN,SAR,BEAR,-1.732,,,1250.0,1262.0,1211.47,1226.67
2015-03-05,BEAR,OIM,BEAR,DOJI,SWR,TR,-0.368,,,1229.43,1230.97,1196.67,1220.83
2015-03-09,TR,OIM,TR,NORMAL,SWR,BEAR,-2.914,,,1209.03,1214.27,1170.0,1172.47
2015-03-10,BEAR,OOL,BULL,DOJI,SWR,BEAR,-0.91,,,1180.0,1193.07,1149.93,1172.47
2015-03-11,TR,OIM,BEAR,NORMAL,SWR,TR,-0.223,,,1176.0,1176.67,1155.17,1159.33
2015-03-12,BEAR,OIM,TR,NORMAL,SWR,TR,-0.407,,,1167.6,1176.67,1161.2,1162.57
2015-03-13,TR,OAR,BEAR,NORMAL,SWR,BEAR,-3.955,,,1179.2,1179.33,1122.47,1129.37
2015-03-16,BEAR,OOL,TR,NORMAL,SWR,BEAR,-1.64,,,1132.53,1139.93,1114.2,1119.9
2015-03-17,BEAR,OIM,BEAR,DOJI,SWR,BULL,1.221,,,1131.67,1148.67,1122.8,1148.0
2015-03-18,BULL,OAR,TR,NORMAL,SWR,BEAR,-1.11,,,1149.43,1151.37,1128.67,1130.0
2015-03-19,BEAR,OOH,TR,DOJI,WAR,BEAR,-3.017,,,1148.6,1159.3,1114.1,1116.67
2015-03-20,BEAR,OOL,BULL,DOJI,SWR,BEAR,-0.812,,,1122.07,1131.43,1102.37,1116.0
2015-03-23,TR,OOH,BEAR,NORMAL,SWR,TR,-0.241,,,1123.3,1126.67,1108.67,1116.27
2015-03-24,TR,OIM,TR,DOJI,SWR,TR,-0.409,,,1117.77,1125.87,1104.13,1113.73
2015-03-25,TR,OIM,BEAR,NORMAL,SWR,BEAR,-1.588,,,1116.67,1117.9,1084.5,1086.67
2015-03-26,BEAR,OBR,BULL,NORMAL,SWR,TR,0.444,,,1081.33,1110.0,1078.93,1095.4
2015-03-27,TR,OIM,TR,NORMAL,SWR,BULL,1.022,,,1100.67,1123.67,1094.67,1121.33
2015-03-30,BULL,OAR,BULL,NORMAL,SAR,BULL,1.684,,,1128.47,1156.0,1122.5,1155.87
2015-03-31,BULL,OAR,TR,NORMAL,SWR,TR,-0.579,,,1157.13,1164.67,1140.83,1145.33
2015-04-01,BEAR,OOL,TR,DOJI,SWR,TR,0.516,,,1147.33,1159.33,1145.33,1158.2
2015-04-06,BULL,OOH,BULL,DOJI,WAR,BULL,1.292,,,1158.27,1176.1,1148.17,1170.33
2015-04-07,TR,OAR,BEAR,NORMAL,SAR,TR,-0.139,,,1181.07,1188.47,1165.5,1180.0
2015-04-08,TR,OOH,TR,NORMAL,SWR,BULL,0.806,,,1183.23,1191.5,1174.13,1185.33
2015-04-09,TR,OOH,BEAR,DOJI,SWR,TR,-0.198,,,1190.3,1191.8,1170.4,1178.13
2015-04-10,TR,OIM,TR,NORMAL,SWR,TR,-0.099,,,1178.2,1185.33,1166.67,1172.77
2015-04-13,TR,OAR,TR,NORMAL,SWR,BULL,1.502,,,1188.0,1204.63,1181.8,1200.4
2015-04-15,BULL,OOH,TR,NORMAL,WAR,BEAR,-1.409,,,1202.7,1213.3,1178.6,1179.53
2015-04-16,BEAR,OOL,BEAR,DOJI,WBR,BEAR,-0.813,,,1188.4,1190.9,1160.0,1169.0
2015-04-17,BEAR,OIM,TR,NORMAL,SWR,TR,-0.503,,,1172.93,1177.07,1154.0,1157.93
2015-04-20,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-1.88,,,1160.4,1160.67,1112.67,1133.33
2015-04-21,TR,OIM,BULL,DOJI,SWR,BEAR,-1.585,,,1131.33,1146.7,1120.37,1129.63
2015-04-22,TR,OIM,TR,NORMAL,SWR,BULL,2.183,,,1129.33,1168.0,1123.83,1165.93
2015-04-23,BULL,OAR,BEAR,NORMAL,SWR,BEAR,-1.057,,,1171.33,1174.67,1142.67,1147.03
2015-04-24,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-1.858,,,1149.33,1150.53,1113.33,1122.0
2015-04-27,BEAR,OOL,BEAR,NORMAL,WBR,TR,0.316,,,1119.97,1130.5,1105.2,1110.0
2015-04-28,TR,OIM,TR,NORMAL,SWR,TR,0.018,,,1117.1,1118.67,1090.67,1107.33
2015-04-29,TR,OIM,BULL,DOJI,SWR,BEAR,-0.91,,,1107.73,1114.83,1097.33,1102.2
2015-04-30,TR,OIM,BEAR,HUGE OPEN,WBR,TR,-0.485,,,1104.23,1104.23,1084.17,1092.37
2015-05-04,TR,OIM,TR,NORMAL,WBR,BEAR,-0.84,,,1092.97,1096.6,1079.33,1088.4
2015-05-05,TR,OIM,BULL,NORMAL,WAR,TR,-0.191,,,1090.63,1110.0,1084.5,1094.67
2015-05-06,TR,OIM,BEAR,NORMAL,WBR,BEAR,-3.427,,,1095.03,1095.03,1038.83,1043.83
2015-05-07,BEAR,OOL,BULL,NORMAL,WBR,TR,0.211,,,1040.0,1056.67,1029.13,1045.33
2015-05-08,TR,OAR,BULL,NORMAL,SWR,TR,0.163,,,1059.33,1076.67,1054.37,1066.67
2015-05-11,TR,OOH,BULL,DOJI,WAR,TR,-0.355,,,1074.67,1088.0,1072.03,1077.33
