Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%,DayHigh,DayLow,Open,High,Low,Close
2015-02-02,,,BULL,,,BEAR,-1.0,,,309.3,311.9,305.1,308.5
2015-02-03,TR,OOH,BEAR,DOJI,SWR,BEAR,-2.867,,,311.2,311.6,299.05,299.5
2015-02-04,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-0.96,,,302.75,302.75,292.0,292.6
2015-02-05,BEAR,OOL,BULL,NORMAL,WBR,BEAR,-0.799,,,292.7,297.8,289.2,290.4
2015-02-06,TR,OOL,TR,DOJI,SWR,TR,0.069,,,291.3,294.85,285.75,291.3
2015-02-09,TR,OIM,TR,NORMAL,SWR,BEAR,-3.7,,,289.5,292.75,278.0,279.5
2015-02-10,BEAR,OBR,BULL,NORMAL,SWR,TR,0.228,,,277.0,290.8,275.95,289.5
2015-02-11,BULL,OOH,TR,NORMAL,WAR,BEAR,-2.022,,,290.8,293.5,283.75,286.2
2015-02-12,BEAR,OIM,BEAR,NORMAL,SWR,TR,-0.123,,,288.9,289.0,278.3,286.35
2015-02-13,TR,OOH,BULL,NORMAL,WAR,BULL,6.041,,,288.2,307.9,285.85,307.7
2015-02-16,BULL,OAR,BULL,DOJI,SAR,BEAR,-1.553,,,310.8,313.1,304.75,306.6
2015-02-18,BEAR,OOL,BEAR,DOJI,SWR,TR,0.016,,,306.75,307.75,302.0,305.75
2015-02-19,TR,OOH,TR,DOJI,SWR,BEAR,-1.048,,,306.45,307.25,296.9,300.5
2015-02-20,BEAR,OIM,BEAR,NORMAL,SWR,BULL,1.575,,,301.7,306.5,297.1,302.3
2015-02-23,TR,OIM,BEAR,NORMAL,SWR,BEAR,-1.356,,,303.05,304.5,294.5,294.85
2015-02-24,BEAR,OOL,TR,NORMAL,SWR,TR,0.051,,,296.8,299.0,292.15,296.3
2015-02-25,TR,OAR,TR,NORMAL,SWR,BEAR,-0.955,,,299.1,300.65,295.0,295.45
2015-02-26,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-1.67,,,296.25,297.0,288.1,289.4
2015-02-27,BEAR,OIM,BULL,NORMAL,SWR,BULL,2.531,,,291.9,300.9,290.1,300.25
2015-02-28,BULL,OAR,TR,NORMAL,SAR,BEAR,-1.407,,,304.9,306.3,295.25,302.0
2015-03-02,TR,OOH,BEAR,NORMAL,SWR,TR,-0.314,,,305.35,305.65,296.8,301.6
2015-03-03,TR,OOH,BULL,NORMAL,SWR,TR,-0.362,,,303.6,305.35,299.75,302.75
2015-03-04,TR,OAR,BEAR,HUGE OPEN,SAR,BEAR,-4.75,,,313.75,313.85,292.1,292.7
2015-03-05,BEAR,OOL,TR,NORMAL,SWR,TR,-0.44,,,294.3,296.25,289.75,293.6
2015-03-09,TR,OIM,BEAR,NORMAL,WBR,BULL,0.675,,,292.0,294.0,288.85,290.3
2015-03-10,TR,OIM,TR,DOJI,SWR,BEAR,-1.389,,,291.0,293.25,285.1,288.55
2015-03-11,TR,OIM,TR,NORMAL,SWR,BEAR,-1.176,,,289.0,290.85,283.8,285.25
2015-03-12,BEAR,OIM,TR,NORMAL,SWR,TR,-0.589,,,288.6,289.35,286.1,286.8
2015-03-13,BEAR,OAR,BEAR,DOJI,SWR,BEAR,-2.907,,,290.4,290.8,280.0,281.15
2015-03-16,BEAR,OOL,BULL,NORMAL,SWR,TR,-0.372,,,282.0,283.75,280.0,282.1
2015-03-17,TR,OAR,BEAR,NORMAL,SWR,TR,0.124,,,284.0,284.0,279.65,283.5
2015-03-18,TR,OAR,BEAR,NORMAL,SWR,BULL,1.589,,,284.1,288.4,282.0,286.7
2015-03-19,TR,OAR,BEAR,NORMAL,SWR,BEAR,-2.728,,,290.0,290.1,280.85,281.2
2015-03-20,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-0.677,,,281.35,282.35,276.8,277.85
2015-03-23,BEAR,OIM,BEAR,NORMAL,SWR,BEAR,-1.059,,,279.4,280.0,273.6,274.6
2015-03-24,BEAR,OOL,BULL,DOJI,SWR,BEAR,-1.781,,,273.6,276.4,269.0,271.4
2015-03-25,TR,OIM,BEAR,NORMAL,SWR,BEAR,-1.541,,,271.85,271.85,265.0,265.15
2015-03-26,BEAR,OBR,BEAR,NORMAL,SWR,BEAR,-3.154,,,264.3,265.8,255.25,258.15
