Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow,Open,High,Low,Close
2015-02-02,TR,Bull Leg,,,,,,,586.6,595.65,581.25,592.25
2015-02-03,BULL,Bull Leg,OAR,HUGE OPEN,SAR,TR,,,597.0,612.0,596.25,598.9
2015-02-04,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,,605.0,606.3,588.25,592.0
2015-02-05,BEAR,Bull Leg,OOL,NORMAL,WBR,BEAR,,,591.95,602.8,582.15,588.4
2015-02-06,BEAR,TR,OBR,NORMAL,SBR,TR,,,570.3,570.3,552.2,559.95
2015-02-09,TR,Bear Leg,OBR,NORMAL,SWR,TR,,,548.0,554.25,541.35,542.8
2015-02-10,BULL,Bull Leg,OOL,HUGE OPEN,SWR,TR,,,544.1,568.0,543.45,563.7
2015-02-11,BEAR,TR,OOH,NORMAL,SWR,BULL,,,567.0,570.9,553.75,560.15
2015-02-12,TR,TR,OIM,NORMAL,SWR,TR,,,562.55,565.7,552.55,563.05
2015-02-13,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,,560.15,567.2,555.65,565.2
2015-02-16,BULL,Bear Leg,OAR,HUGE OPEN,SAR,TR,,,569.05,580.45,565.75,574.0
2015-02-18,BEAR,Bull Leg,OIM,NORMAL,WBR,TR,,,572.05,587.0,560.8,583.1
2015-02-19,TR,Bear Leg,OOH,DOJI,WAR,TR,,,585.1,592.55,572.2,578.0
2015-02-20,TR,TR,OIM,NORMAL,SWR,TR,,,579.15,585.0,572.85,580.0
2015-02-23,TR,Bear Leg,OOH,DOJI,SWR,TR,,,582.4,584.35,572.15,575.5
2015-02-24,BEAR,Bear Leg,OIM,HUGE OPEN,WBR,BEAR,,,577.35,578.0,560.1,566.0
2015-02-25,BULL,TR,OIM,NORMAL,SWR,BEAR,,,566.2,576.0,564.2,567.0
2015-02-26,TR,Bear Leg,OIM,NORMAL,SWR,TR,,,570.7,572.05,558.45,562.4
2015-02-27,TR,Bull Leg,OIM,DOJI,SWR,BEAR,,,567.3,581.0,563.5,574.0
2015-02-28,BEAR,Bull Leg,OOH,DOJI,SWR,TR,,,576.5,598.95,564.35,597.95
2015-03-02,BEAR,Bear Leg,OOH,DOJI,SWR,BULL,,,597.05,600.65,573.1,584.15
2015-03-03,BEAR,TR,OIM,NORMAL,SWR,TR,,,581.5,581.5,572.0,573.0
